Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS26, L1, 5Mn
Exported On:,2022/08/24,11:06
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), NO (ppb), NO2 (ppb), NOx (ppb), Wind Speed @ 10m (km/h), Wind Direction @ 10m (deg.), Relative Humidity (%), Temp @ 2m (deg. C)
2022-05-24 13:15:00,-0.23,-0.35,-0.03,0.11,0.09,13.48,91.4,69,9.18
2022-05-24 13:20:00,-0.1,-0.41,-0.02,0.16,0.15,12.91,84.6,67,9.17
2022-05-24 13:25:00,-0.16,-0.35,-0.04,0.13,0.09,14.65,88.9,66,9.26
2022-05-24 13:30:00,-0.11,-0.46,-0.08,0.1,0.02,10.97,96.1,67,9.34
2022-05-24 13:35:00,-0.08,-0.22,-0.03,0.1,0.07,14.55,102.3,67,9.3
2022-05-24 13:40:00,-0.07,-0.44,0,0.11,0.11,13.89,98.7,68,8.82
2022-05-24 13:45:00,-0.36,-0.25,-0.02,0.11,0.08,12.42,96,70,8.82
2022-05-24 13:50:00,-0.1,-0.28,0.1,0.31,0.41,12.67,102.5,70,9.06
2022-05-24 13:55:00,-0.38,-0.04,3.97,2.67,6.65,13.03,102,70,8.92
2022-05-24 14:00:00,-0.09,-0.19,0.03,0.06,0.09,14.96,91.8,71,8.79
2022-05-24 14:05:00,-0.28,-0.19,0.01,0.14,0.14,13.04,99,72,8.58
2022-05-24 14:10:00,-0.23,-0.42,0.05,0.05,0.11,14.47,102.7,72,8.48
2022-05-24 14:15:00,-0.15,-0.41,0.02,0.26,0.28,16.29,92.3,74,8.2
2022-05-24 14:20:00,-0.35,-0.48,0.02,0.29,0.32,14.83,86.5,77,8.18
2022-05-24 14:25:00,-0.24,-0.26,-0.02,0.16,0.15,15.64,83.5,78,8.26
2022-05-24 14:30:00,-0.25,-0.34,-0.06,0.13,0.07,14.12,82.9,78,8.39
2022-05-24 14:35:00,-0.21,-0.4,-0.04,0.13,0.09,15.4,69.96,77,8.81
2022-05-24 14:40:00,-0.19,-0.42,-0.06,0.1,0.05,16.26,66.5,75,8.96
2022-05-24 14:45:00,-0.33,-0.16,0.01,0.1,0.11,18.51,71.87,73,8.76
2022-05-24 14:50:00,-0.15,-0.44,0.01,0.17,0.18,14.58,65,74,8.95
2022-05-24 14:55:00,-0.31,-0.42,-0.01,0.17,0.16,15.16,65.97,73,9.19
2022-05-24 15:00:00,-0.25,-0.34,-0.05,0.1,0.05,15.38,71.21,73,8.95
2022-05-24 15:05:00,-0.24,-0.38,1.14,1.01,2.15,15.56,70.55,73,8.91
2022-05-24 15:10:00,-0.33,-0.34,0.58,0.4,0.98,14.46,75.21,74,8.73
2022-05-24 15:15:00,-0.22,-0.18,-0.05,0.07,0.02,11.98,74.18,75,8.83
2022-05-24 15:20:00,-0.05,-0.17,-0.05,0.11,0.06,15.82,63.57,74,8.81
2022-05-24 15:25:00,-0.23,-0.3,-0.02,0.11,0.09,15.87,61.63,75,8.77
2022-05-24 15:30:00,-0.19,-0.46,0.25,0.3,0.55,13.91,75.7,74,8.86
2022-05-24 15:35:00,-0.17,-0.17,0.96,-0.09,0.87,13.19,67.92,75,8.91
2022-05-24 15:40:00,-0.23,-0.18,2.38,0.33,2.71,12.52,65.65,76,8.98
2022-05-24 15:45:00,-0.34,-0.04,0.12,0.23,0.35,13.51,83.8,75,9.24
2022-05-24 15:50:00,-0.33,-0.25,-0.02,0.16,0.14,13.48,78.47,76,9.3
2022-05-24 15:55:00,-0.12,-0.18,0.05,0.17,0.22,14.33,81.8,75,9.46
2022-05-24 16:00:00,-0.36,-0.12,0.5,0.56,1.05,15.77,83.1,76,9.23
2022-05-24 16:05:00,-0.11,0.05,-0.04,0.13,0.09,14.88,53.99,76,9.13
2022-05-24 16:10:00,-0.14,0.04,0.06,0.16,0.22,13.29,66.77,77,9.3
2022-05-24 16:15:00,-0.23,-0.21,-0.02,0.11,0.09,14.38,67.01,76,9.36
2022-05-24 16:20:00,-0.13,-0.4,0.07,0.16,0.24,14.8,72.96,75,9.68
2022-05-24 16:25:00,-0.27,-0.33,-0.04,0.13,0.08,13.85,69.94,74,9.89
2022-05-24 16:30:00,-0.2,-0.21,-0.05,0.15,0.1,16.64,80.9,72,9.96
2022-05-24 16:35:00,-0.12,-0.08,-0.06,0.12,0.06,13.85,78.78,72,9.7
2022-05-24 16:40:00,-0.21,-0.28,-0.06,0.13,0.08,13.04,71.95,72,10.05
2022-05-24 16:45:00,-0.19,-0.25,-0.05,0.09,0.04,15.57,62.49,71,9.92
2022-05-24 16:50:00,-0.17,-0.32,-0.06,0.1,0.04,15.59,56.97,71,9.71
2022-05-24 16:55:00,-0.13,-0.22,-0.08,0.13,0.05,13.9,60.82,72,9.57
2022-05-24 17:00:00,-0.18,-0.3,0.06,0.11,0.17,14.38,66.91,72,9.71
2022-05-24 17:05:00,-0.1,-0.5,0.08,0.13,0.21,16.8,70.66,71,9.64
2022-05-24 17:10:00,-0.25,-0.51,0.86,0.58,1.44,12.86,76.86,72,9.55
2022-05-24 17:15:00,0.15,-0.25,-0.06,0.09,0.03,13.19,61.91,73,9.69
2022-05-24 17:20:00,-0.19,-0.48,-0.08,0.12,0.05,12.3,53.68,73,9.69
2022-05-24 17:25:00,0.02,-0.1,-0.05,0.1,0.05,12.98,53.36,72,9.63
2022-05-24 17:30:00,-0.2,-0.26,-0.06,0.17,0.11,11.69,53.47,72,9.6
2022-05-24 17:35:00,-0.11,-0.4,0.25,0.46,0.71,11.49,63.16,72,9.63
2022-05-24 17:40:00,-0.14,-0.31,0.25,0.29,0.54,11.55,61.31,73,9.57
2022-05-24 17:45:00,-0.04,-0.19,0.06,0.25,0.31,11.31,58.02,73,9.54
2022-05-24 17:50:00,-0.19,-0.41,-0.03,0.2,0.17,10.64,43.04,73,9.49
2022-05-24 17:55:00,-0.23,-0.26,-0.05,0.09,0.04,11.31,56.46,73,9.4
2022-05-24 18:00:00,-0.21,-0.44,-0.06,0.1,0.04,11.32,42.35,74,9.42
2022-05-24 18:05:00,-0.24,-0.37,-0.06,0.11,0.06,12.75,38.83,74,9.37
2022-05-24 18:10:00,-0.28,-0.04,-0.08,0.15,0.07,13.97,41.93,74,9.21
2022-05-24 18:15:00,-0.1,-0.28,-0.06,0.09,0.03,11.13,42.78,73,9.11
2022-05-24 18:20:00,-0.13,-0.31,-0.05,0.11,0.06,9.54,46.26,73,9.13
2022-05-24 18:25:00,-0.27,-0.15,-0.06,0.23,0.17,10.7,42.49,73,9.19
2022-05-24 18:30:00,0.04,-0.38,-0.09,0.14,0.06,12.27,43.36,72,9.1
2022-05-24 18:35:00,-0.22,-0.37,-0.01,0.16,0.15,10.5,58.68,72,9.1
2022-05-24 18:40:00,-0.17,-0.24,-0.06,0.13,0.07,10.83,56.8,71,9.1
2022-05-24 18:45:00,-0.14,-0.04,2.65,2.38,5.03,10.11,52.26,72,9.13
2022-05-24 18:50:00,-0.17,-0.09,0.36,0.85,1.21,12.03,53.34,71,9.08
2022-05-24 18:55:00,0.11,-0.26,-0.07,0.27,0.2,12.06,64.68,70,9.04
2022-05-24 19:00:00,0.04,-0.21,-0.05,0.37,0.33,9.99,62.74,71,8.94
2022-05-24 19:05:00,0.09,-0.11,-0.05,0.14,0.09,9.99,51.89,71,8.99
2022-05-24 19:10:00,-0.15,-0.42,-0.07,0.13,0.06,10.66,48.14,71,8.94
2022-05-24 19:15:00,-0.21,-0.01,-0.06,0.16,0.1,9.7,59.69,70,8.87
2022-05-24 19:20:00,-0.35,0.05,-0.08,0.16,0.07,7.35,48.66,71,8.8
2022-05-24 19:25:00,-0.15,-0.17,-0.07,0.1,0.02,8.25,44.05,70,8.8
2022-05-24 19:30:00,-0.25,-0.54,-0.1,0.17,0.07,8.08,37.09,70,8.8
2022-05-24 19:35:00,-0.01,-0.24,-0.08,0.25,0.18,8.68,39.07,71,8.72
2022-05-24 19:40:00,-0.17,-0.14,0.03,0.64,0.67,9.84,35.73,71,8.74
2022-05-24 19:45:00,-0.01,-0.35,-0.01,0.63,0.61,11.46,43.43,70,8.7
2022-05-24 19:50:00,-0.33,-0.25,-0.07,0.41,0.35,10.79,52.01,70,8.69
2022-05-24 19:55:00,-0.09,-0.32,-0.07,0.46,0.39,10.53,66.01,70,8.55
2022-05-24 20:00:00,-0.13,-0.21,0.74,1.16,1.9,9.87,62.39,71,8.41
2022-05-24 20:05:00,-0.19,0.12,-0.05,0.32,0.27,11.25,59.02,71,8.31
2022-05-24 20:10:00,-0.27,-0.18,-0.06,0.38,0.32,10.59,63.84,71,8.26
2022-05-24 20:15:00,-0.1,-0.05,-0.06,0.27,0.21,8.62,61.31,72,8.13
2022-05-24 20:20:00,-0.13,-0.18,-0.06,0.21,0.15,9.39,59.59,72,8.1
2022-05-24 20:25:00,-0.24,-0.11,-0.06,0.19,0.13,9.39,66.63,72,7.95
2022-05-24 20:30:00,-0.17,-0.26,-0.07,0.12,0.05,12.18,70.39,73,7.83
2022-05-24 20:35:00,-0.15,0.03,-0.07,0.08,0.01,8.7,76.56,73,7.8
2022-05-24 20:40:00,-0.25,-0.32,-0.08,0.09,0.01,8.48,78.74,74,7.73
2022-05-24 20:45:00,-0.16,-0.04,-0.08,0.09,0.01,5.72,70.05,75,7.7
2022-05-24 20:50:00,-0.25,-0.27,-0.06,0.05,-0.02,1.08,65.06,75,7.7
2022-05-24 20:55:00,-0.17,-0.21,-0.07,0.07,0.01,3.93,275,75,7.77
2022-05-24 21:00:00,0.01,-0.23,0.05,1.16,1.21,6.08,348.8,73,7.92
2022-05-24 21:05:00,-0.31,-0.23,-0.04,0.4,0.36,5.7,14.57,72,8.14
2022-05-24 21:10:00,-0.25,0.02,-0.07,0.43,0.36,3.61,13.46,71,8.1
2022-05-24 21:15:00,-0.08,0.17,-0.05,0.37,0.32,3.18,10.7,72,8.06
2022-05-24 21:20:00,-0.28,-0.12,-0.06,0.38,0.32,2.63,24.82,72,8.02
2022-05-24 21:25:00,-0.21,-0.12,-0.08,0.4,0.32,1.91,329.5,72,7.95
2022-05-24 21:30:00,-0.12,0.58,-0.06,0.51,0.45,5.18,11.99,73,7.98
2022-05-24 21:35:00,-0.17,-0.04,-0.08,0.45,0.37,5.18,26.74,73,7.85
2022-05-24 21:40:00,0.13,-0.09,-0.07,0.37,0.3,8.07,46.28,75,7.55
2022-05-24 21:45:00,-0.06,-0.09,-0.07,0.29,0.23,8.05,45.51,76,7.46
2022-05-24 21:50:00,-0.14,-0.39,-0.08,0.25,0.18,6.62,47.48,77,7.27
2022-05-24 21:55:00,-0.1,-0.28,-0.07,0.24,0.17,5.02,47.11,78,6.91
2022-05-24 22:00:00,-0.1,-0.26,-0.05,0.49,0.44,7.13,38.61,79,6.83
2022-05-24 22:05:00,-0.24,-0.25,-0.07,1.37,1.3,6.33,36.39,79,6.93
2022-05-24 22:10:00,-0.09,-0.3,-0.04,0.77,0.74,4.53,48.06,80,6.9
2022-05-24 22:15:00,-0.25,-0.23,-0.08,1.86,1.78,3.27,59.31,79,6.81
2022-05-24 22:20:00,-0.13,-0.09,-0.05,2.27,2.22,4.21,64.57,80,6.55
2022-05-24 22:25:00,-0.17,-0.11,-0.06,2.29,2.22,0.57,73.89,82,6.33
2022-05-24 22:30:00,-0.23,0.05,-0.05,2.21,2.16,5.53,69.1,82,6.3
2022-05-24 22:35:00,-0.43,-0.11,-0.07,2.06,1.99,6.55,64.69,82,6.22
2022-05-24 22:40:00,-0.19,-0.12,-0.07,1.43,1.36,6.53,69.34,83,6.1
2022-05-24 22:45:00,-0.34,-0.33,-0.07,0.65,0.58,6.04,78.38,83,5.98
2022-05-24 22:50:00,-0.04,-0.17,-0.07,0.41,0.34,0.82,104.6,85,5.91
2022-05-24 22:55:00,0.06,-0.18,-0.03,0.42,0.38,0.24,135,85,6
2022-05-24 23:00:00,-0.05,-0.28,-0.04,0.36,0.32,4.88,146.9,84,5.88
2022-05-24 23:05:00,-0.22,-0.29,-0.06,0.31,0.25,5.11,139.5,85,5.7
2022-05-24 23:10:00,-0.18,-0.21,-0.05,0.21,0.16,3.78,136.3,85,5.67
2022-05-24 23:15:00,-0.06,-0.18,-0.05,0.22,0.17,0.8,180.4,86,5.72
2022-05-24 23:20:00,-0.14,-0.27,-0.08,0.18,0.1,0,0,86,5.8
2022-05-24 23:25:00,-0.03,-0.27,-0.06,0.18,0.12,0,0,85,5.87
2022-05-24 23:30:00,-0.22,-0.04,-0.03,0.17,0.14,0,0,86,5.96
2022-05-24 23:35:00,-0.06,-0.18,-0.05,0.19,0.14,3.32,79.57,86,5.75
2022-05-24 23:40:00,-0.07,-0.24,-0.04,0.19,0.15,4.96,65.2,86,5.74
2022-05-24 23:45:00,-0.01,-0.17,-0.05,0.24,0.2,4.84,37.6,87,5.88
2022-05-24 23:50:00,-0.2,-0.25,-0.01,0.56,0.56,4.6,26.5,87,6.08
2022-05-24 23:55:00,-0.01,-0.42,-0.05,0.69,0.64,5.74,27.36,85,6.23
2022-05-25 00:00:00,-0.46,-0.21,-0.04,0.82,0.78,6.45,43.21,84,6.23
2022-05-25 00:05:00,-0.21,-0.34,Z/S,Z/S,Z/S,3.76,58.31,85,6.16
2022-05-25 00:10:00,0.01,-0.1,Z/S,Z/S,Z/S,3.97,15.79,85,6.12
2022-05-25 00:15:00,-0.16,1.27,Z/S,Z/S,Z/S,6.52,9.03,83,6.38
2022-05-25 00:20:00,-0.12,0.69,Z/S,Z/S,Z/S,7.09,29.37,83,6.4
2022-05-25 00:25:00,-0.14,-0.4,Z/S,Z/S,Z/S,6.65,30.39,83,6.26
2022-05-25 00:30:00,-0.09,0.13,Z/S,Z/S,Z/S,6.84,17.38,83,6.2
2022-05-25 00:35:00,0.05,0.77,Z/S,Z/S,Z/S,6.46,32.44,82,6.2
2022-05-25 00:40:00,-0.15,-0.21,Z/S,Z/S,Z/S,4.68,54.9,83,6.14
2022-05-25 00:45:00,-0.15,-0.16,Z/S,Z/S,Z/S,3.33,46.55,84,6.05
2022-05-25 00:50:00,-0.03,-0.41,Z/S,Z/S,Z/S,5.58,49.91,83,6.03
2022-05-25 00:55:00,-0.13,-0.43,Z/S,Z/S,Z/S,2.28,62.09,83,5.94
2022-05-25 01:00:00,-0.25,-0.09,Z/S,Z/S,Z/S,4.05,80.9,83,5.77
2022-05-25 01:05:00,-0.36,-0.4,-0.05,1.9,1.85,4.32,102.7,85,5.47
2022-05-25 01:10:00,-0.26,-0.03,-0.03,0.52,0.49,3.81,103.5,86,5.18
2022-05-25 01:15:00,-0.16,-0.33,-0.04,0.47,0.44,2.68,97.2,88,4.95
2022-05-25 01:20:00,-0.36,-0.17,-0.08,0.52,0.44,0.3,85.7,89,4.68
2022-05-25 01:25:00,-0.1,-0.38,-0.05,0.54,0.49,0,0,90,4.51
2022-05-25 01:30:00,-0.14,-0.51,-0.06,0.58,0.52,0,0,90,4.29
2022-05-25 01:35:00,-0.27,-0.39,-0.05,0.49,0.45,0,0,91,4.2
2022-05-25 01:40:00,-0.13,-0.28,-0.06,0.4,0.34,0,0,91,4.25
2022-05-25 01:45:00,-0.01,-0.16,-0.05,0.41,0.36,0.08,122.3,91,4.25
2022-05-25 01:50:00,-0.26,-0.12,-0.07,0.53,0.46,0,0,91,3.86
2022-05-25 01:55:00,-0.33,-0.26,-0.04,0.49,0.45,0,0,92,3.54
2022-05-25 02:00:00,-0.1,0.06,-0.07,0.49,0.42,0,0,93,3.29
2022-05-25 02:05:00,Z/S,-0.21,-0.07,0.44,0.37,0,0,94,3.32
2022-05-25 02:10:00,Z/S,-0.23,-0.04,0.42,0.38,0,0,94,3.51
2022-05-25 02:15:00,Z/S,-0.59,-0.06,0.4,0.34,0,0,94,3.21
2022-05-25 02:20:00,Z/S,-0.21,-0.03,0.4,0.37,0.01,51.23,94,2.97
2022-05-25 02:25:00,Z/S,-0.41,-0.09,0.49,0.4,0,32.27,94,2.98
2022-05-25 02:30:00,Z/S,-0.16,-0.01,0.67,0.66,1.68,29.33,95,2.84
2022-05-25 02:35:00,Z/S,-0.12,0.56,1.77,2.33,3.08,32.22,95,2.4
2022-05-25 02:40:00,Z/S,-0.12,0.05,1.35,1.4,2.6,37.37,95,2.38
2022-05-25 02:45:00,Z/S,0.06,0.18,2.22,2.41,0.19,39.75,95,2.29
2022-05-25 02:50:00,Z/S,-0.13,0.11,2.58,2.7,1.49,34.39,95,2.22
2022-05-25 02:55:00,Z/S,-0.07,0.02,2.42,2.44,0.39,39.54,95,2.23
2022-05-25 03:00:00,Z/S,-0.37,-0.01,2.43,2.41,0,0,95,2.17
2022-05-25 03:05:00,0.28,Z/S,0.01,3.49,3.5,0,0,96,2.53
2022-05-25 03:10:00,0.12,Z/S,-0.03,1.28,1.25,0,0,95,1.92
2022-05-25 03:15:00,0.04,Z/S,-0.03,0.8,0.77,0,0,95,1.62
2022-05-25 03:20:00,-0.1,Z/S,-0.04,0.81,0.77,2.17,224.2,96,1.35
2022-05-25 03:25:00,-0.22,Z/S,-0.03,1.07,1.05,0.96,230.6,96,1.44
2022-05-25 03:30:00,-0.14,Z/S,-0.01,1.52,1.51,0,0,96,1.35
2022-05-25 03:35:00,0.07,Z/S,-0.01,0.86,0.85,0.02,225.8,96,1.29
2022-05-25 03:40:00,-0.08,Z/S,-0.03,0.73,0.7,1.73,206,96,1.17
2022-05-25 03:45:00,0.02,Z/S,0.28,0.98,1.26,3.47,192.4,96,1.02
2022-05-25 03:50:00,-0.16,Z/S,1.12,1.4,2.52,1,167.2,96,0.66
2022-05-25 03:55:00,-0.19,Z/S,1.16,1.78,2.95,0,0,97,0.48
2022-05-25 04:00:00,-0.18,Z/S,1.27,1.56,2.83,2.47,216.8,97,0.58
2022-05-25 04:05:00,-0.18,-0.11,0.33,1.26,1.58,5.33,228.2,97,1.01
2022-05-25 04:10:00,-0.13,0.01,1.25,1.41,2.65,6.56,219.6,97,0.69
2022-05-25 04:15:00,-0.08,-0.2,3.65,2.91,6.56,3.73,225,97,1.08
2022-05-25 04:20:00,0.09,-0.29,12.64,4.44,17.08,0,0,97,1.15
2022-05-25 04:25:00,-0.12,0.09,3.84,2.89,6.73,2.28,224.1,97,0.83
2022-05-25 04:30:00,-0.08,-0.12,2.19,2.49,4.68,3.03,212.9,97,0.8
2022-05-25 04:35:00,-0.08,-0.36,1.49,1.96,3.45,0.11,183.7,97,0.44
2022-05-25 04:40:00,-0.01,-0.27,1.4,2.25,3.64,0,0,97,0.4
2022-05-25 04:45:00,-0.16,-0.47,1.32,1.75,3.07,2.03,188.9,97,0.31
2022-05-25 04:50:00,0,-0.16,1.92,1.27,3.19,4.95,173.2,97,0.05
2022-05-25 04:55:00,-0.13,-0.32,0.65,0.97,1.62,4.47,168,97,0.15
2022-05-25 05:00:00,-0.07,-0.05,37.81,2.26,40.07,4,165,97,0.3
2022-05-25 05:05:00,0.04,-0.19,11.96,2.49,14.45,3.5,128.6,97,0.37
2022-05-25 05:10:00,-0.11,-0.23,1.71,1.01,2.72,4.33,94.7,97,0.41
2022-05-25 05:15:00,-0.25,-0.2,2.7,0.96,3.66,5.11,114.8,97,0.45
2022-05-25 05:20:00,-0.12,-0.04,2.36,0.98,3.34,5.15,112.4,97,0.81
2022-05-25 05:25:00,-0.08,-0.15,2.07,0.89,2.96,2.24,117.2,96,1.2
2022-05-25 05:30:00,-0.14,-0.18,1.03,0.71,1.73,0.6,100.9,96,1.51
2022-05-25 05:35:00,-0.05,-0.27,1.07,0.68,1.75,3.44,99.6,96,1.81
2022-05-25 05:40:00,-0.01,-0.05,5.47,1,6.48,3.03,86.3,96,2.18
2022-05-25 05:45:00,-0.24,-0.36,1.56,0.99,2.55,3.6,105.9,96,2.72
2022-05-25 05:50:00,-0.15,-0.16,3.47,1.34,4.8,2.9,108.4,95,3.22
2022-05-25 05:55:00,-0.04,0.09,1.45,1.35,2.8,3.5,98,93,3.67
2022-05-25 06:00:00,-0.03,-0.13,1.29,1.55,2.85,3.9,80.6,91,4.13
2022-05-25 06:05:00,0.11,-0.13,1.16,1.42,2.59,3,88.9,89,4.6
2022-05-25 06:10:00,-0.25,-0.2,1.06,1.42,2.48,1.44,93.6,87,4.9
2022-05-25 06:15:00,-0.16,-0.22,1.07,1.28,2.34,2.92,81.9,85,5.17
2022-05-25 06:20:00,-0.21,-0.41,0.83,1.02,1.85,6.21,55.14,84,5.33
2022-05-25 06:25:00,-0.27,-0.29,1.17,1.28,2.45,5.94,65.16,83,5.49
2022-05-25 06:30:00,-0.05,-0.27,0.98,1.24,2.22,3.57,80.2,82,5.76
2022-05-25 06:35:00,-0.19,-0.18,1.25,1.68,2.93,4.46,52.46,80,6
2022-05-25 06:40:00,-0.23,0.01,1.41,1.91,3.32,3.71,60.03,80,6.24
2022-05-25 06:45:00,-0.46,-0.46,1.2,1.45,2.65,5.11,83.1,78,6.68
2022-05-25 06:50:00,-0.22,-0.19,1.25,1.47,2.72,5.65,76.73,78,6.91
2022-05-25 06:55:00,-0.31,-0.27,1.21,1.43,2.64,7.26,66.84,76,7.19
2022-05-25 07:00:00,-0.16,-0.41,1.21,1.43,2.64,7.17,73.46,75,7.67
2022-05-25 07:05:00,-0.32,-0.35,1.59,1.64,3.22,7.23,55.69,74,8.1
2022-05-25 07:10:00,-0.26,-0.06,0.43,0.8,1.24,7.07,67.57,72,8.06
2022-05-25 07:15:00,-0.4,-0.34,0.28,0.63,0.91,6.66,54.56,72,8.07
2022-05-25 07:20:00,-0.31,-0.55,0.19,0.48,0.67,5.33,31.35,70,8.47
2022-05-25 07:25:00,-0.4,-0.46,0.14,0.42,0.56,4.83,42.27,67,9.07
2022-05-25 07:30:00,-0.08,-0.48,0.04,0.34,0.38,0.42,255.6,68,8.64
2022-05-25 07:35:00,-0.24,-0.29,0.14,0.59,0.72,2.02,329.5,68,8.85
2022-05-25 07:40:00,-0.37,-0.43,0.26,0.74,0.99,2.5,352.8,67,9.14
2022-05-25 07:45:00,-0.22,-0.22,0.27,0.79,1.06,0.68,302.3,65,9.53
2022-05-25 07:50:00,-0.26,-0.27,0.25,1.14,1.39,0.1,283,66,9.59
2022-05-25 07:55:00,-0.03,-0.2,0.41,1.54,1.95,0.92,93.7,66,9.61
2022-05-25 08:00:00,0.19,-0.08,1.03,3.07,4.09,0.27,108,67,9.2
2022-05-25 08:05:00,0.24,-0.07,0.93,2.9,3.83,0.27,84,68,9.16
2022-05-25 08:10:00,0.3,-0.17,0.65,2.25,2.9,3.05,2.03,66,9.39
2022-05-25 08:15:00,0.36,-0.14,0.49,1.71,2.2,3.01,23.8,67,9.14
2022-05-25 08:20:00,0.1,-0.25,0.46,1.62,2.08,1.91,87.1,68,9.11
2022-05-25 08:25:00,0.02,-0.4,0.33,1.19,1.52,3.07,37.6,67,9.18
2022-05-25 08:30:00,-0.13,-0.5,0.3,1.08,1.39,2.26,62.41,67,9.26
2022-05-25 08:35:00,-0.14,-0.43,2.43,2.67,5.09,1.12,60.4,67,9.53
2022-05-25 08:40:00,-0.03,-0.32,1.7,2.21,3.91,2.2,43.74,64,10.33
2022-05-25 08:45:00,-0.08,-0.58,0.8,1.22,2.02,0.76,84.5,63,10.61
2022-05-25 08:50:00,0,-0.25,1.49,1.96,3.45,1.67,42.2,61,10.96
2022-05-25 08:55:00,0.29,-0.36,2.65,3.25,5.9,1.83,47.97,60,11.33
2022-05-25 09:00:00,0.28,-0.11,3.42,4.2,7.62,0.91,35.33,60,11.15
2022-05-25 09:05:00,0.2,-0.23,2.54,3.03,5.57,5.04,53.15,61,11.17
2022-05-25 09:10:00,0.61,-0.1,1.96,2.55,4.51,3.43,26.95,61,11.21
2022-05-25 09:15:00,1.17,-0.24,3.58,4.06,7.64,3.46,5.72,60,11.93
2022-05-25 09:20:00,1.26,-0.32,1.96,2.91,4.86,4.46,70.83,59,12.11
2022-05-25 09:25:00,1.41,-0.45,1.7,2.99,4.69,3.64,70.69,59,11.81
2022-05-25 09:30:00,1.6,-0.42,2.52,3.33,5.85,6.99,56.58,60,11.89
2022-05-25 09:35:00,2.17,-0.2,2.67,4.55,7.22,5.42,29.15,59,11.93
2022-05-25 09:40:00,1.85,-0.23,3.9,4.35,8.26,8.03,23.89,60,11.71
2022-05-25 09:45:00,0.84,-0.29,0.54,1.5,2.04,7.26,43.19,60,11.9
