Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS19, L1, 5Mn
Exported On:,2022/08/24,11:04
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), THC (ppm), NO (ppb), NO2 (ppb), NOx (ppb), Wind Speed @ 10m (km/h), Wind Direction @ 10m (deg.), Relative Humidity (%), Temp @ 2m (deg. C)
2022-05-24 13:30:00,-0.03,0.02,2.36,-0.15,0.32,0.16,18.74,151.8,51,7.28
2022-05-24 13:35:00,-0.12,0.04,2.35,-0.11,0.28,0.17,15.3,156.3,51,7.37
2022-05-24 13:40:00,-0.24,0,2.33,-0.13,0.12,-0.01,14.29,170.9,51,7.29
2022-05-24 13:45:00,-0.14,0.13,2.36,-0.13,0.11,-0.02,13.9,171.9,51,7.17
2022-05-24 13:50:00,-0.08,0.32,2.33,-0.1,0.38,0.29,15.8,170.4,51,7.41
2022-05-24 13:55:00,-0.06,0.16,2.32,-0.11,0.34,0.23,14.35,135.7,49,7.62
2022-05-24 14:00:00,-0.09,0.3,2.3,-0.14,0.28,0.14,13.88,161.3,50,7.55
2022-05-24 14:05:00,-0.06,0.14,2.31,-0.11,0.36,0.26,11.82,134.5,49,7.64
2022-05-24 14:10:00,-0.18,-0.08,2.34,-0.16,0.46,0.3,12.46,135.6,47,7.68
2022-05-24 14:15:00,-0.17,0.06,2.36,-0.12,0.47,0.36,12.43,118.5,46,7.87
2022-05-24 14:20:00,-0.25,-0.11,2.35,-0.13,0.3,0.17,12.93,165.4,47,7.97
2022-05-24 14:25:00,-0.06,0.02,2.32,-0.16,0.27,0.11,12.21,148.6,46,7.93
2022-05-24 14:30:00,-0.12,-0.06,2.37,-0.13,0.44,0.3,14.19,139.4,46,8
2022-05-24 14:35:00,0.12,-0.08,2.35,-0.16,0.53,0.37,11.6,150.5,47,7.99
2022-05-24 14:40:00,0,-0.04,2.33,-0.11,0.56,0.45,13.44,150.7,47,8.06
2022-05-24 14:45:00,-0.04,-0.06,2.31,-0.13,0.62,0.49,11.16,141.3,45,8.12
2022-05-24 14:50:00,-0.04,0.08,2.33,-0.15,0.35,0.2,15.36,173,47,7.97
2022-05-24 14:55:00,-0.06,0.21,2.35,-0.18,0.29,0.11,19.39,176,49,7.75
2022-05-24 15:00:00,-0.09,0.12,2.33,-0.16,0.31,0.15,19.01,189.4,50,7.59
2022-05-24 15:05:00,-0.14,0.12,2.31,-0.15,0.25,0.11,20.2,184.6,52,7.43
2022-05-24 15:10:00,-0.12,0.06,2.32,-0.18,0.28,0.1,18.84,159.7,55,7.16
2022-05-24 15:15:00,-0.15,0.09,2.33,-0.2,0.26,0.06,15.63,167.9,56,6.97
2022-05-24 15:20:00,-0.15,-0.02,2.37,-0.09,0.65,0.56,18.73,164,59,6.88
2022-05-24 15:25:00,-0.07,0.25,2.36,-0.11,0.59,0.49,21.24,161.4,60,6.68
2022-05-24 15:30:00,-0.06,0.16,2.36,-0.12,0.43,0.31,18.64,169.4,62,6.63
2022-05-24 15:35:00,-0.02,0.23,2.35,-0.08,0.5,0.42,19.38,158.6,63,6.51
2022-05-24 15:40:00,-0.09,0.14,2.34,-0.06,0.75,0.69,18.01,151.7,63,6.47
2022-05-24 15:45:00,-0.27,0.21,2.37,0.08,0.9,0.98,17.74,146.9,63,6.47
2022-05-24 15:50:00,-0.11,0.36,2.34,0.28,1.65,1.93,16.37,138.4,63,6.56
2022-05-24 15:55:00,-0.05,0.35,2.32,0,0.78,0.78,15.86,129.7,61,6.6
2022-05-24 16:00:00,-0.19,0.52,2.32,0.03,1.04,1.07,13.97,128.1,61,6.78
2022-05-24 16:05:00,-0.17,0.15,2.33,0.05,0.83,0.88,14.52,132.2,62,6.75
2022-05-24 16:10:00,-0.03,0.26,2.31,0,0.76,0.76,16.55,135.7,63,6.84
2022-05-24 16:15:00,-0.05,0.2,2.33,0,0.75,0.75,16.99,115.6,63,6.79
2022-05-24 16:20:00,-0.16,0.26,2.31,-0.1,0.45,0.36,17.44,112.1,63,6.87
2022-05-24 16:25:00,0.41,0.3,2.32,-0.05,0.63,0.59,17.62,117.5,62,6.92
2022-05-24 16:30:00,1.14,0.25,2.33,-0.03,0.65,0.62,18.14,110.9,62,7.07
2022-05-24 16:35:00,1.79,0.03,2.31,-0.11,0.44,0.33,18.04,112.8,61,7.06
2022-05-24 16:40:00,1.07,0.36,2.34,-0.18,0.37,0.18,15.73,107.6,61,7.15
2022-05-24 16:45:00,1.63,0.39,2.34,-0.02,0.78,0.76,14.35,111.6,60,7.35
2022-05-24 16:50:00,3.5,0.45,2.35,-0.13,0.66,0.53,16.43,104.5,60,7.43
2022-05-24 16:55:00,7.18,0.43,2.35,-0.12,0.77,0.65,17,102.8,60,7.46
2022-05-24 17:00:00,6.84,0.46,2.34,-0.1,1.11,1.01,14.78,112.3,59,7.57
2022-05-24 17:05:00,9.28,0.47,2.33,-0.1,0.88,0.78,16.41,103.3,59,7.67
2022-05-24 17:10:00,6.68,0.5,2.36,0.03,1.22,1.25,15.51,108.7,59,7.83
2022-05-24 17:15:00,3.61,0.6,2.4,0.05,1.35,1.4,15.3,106.1,58,8.11
2022-05-24 17:20:00,6.53,0.35,2.32,-0.04,0.7,0.66,16.81,112,57,8.16
2022-05-24 17:25:00,6.21,0.39,2.36,-0.03,0.85,0.82,14.63,115.4,56,8.23
2022-05-24 17:30:00,4.96,0.12,2.37,-0.1,0.62,0.52,14.65,104.1,56,8.25
2022-05-24 17:35:00,2.22,0.35,2.34,-0.04,0.93,0.89,14.05,116.1,55,8.56
2022-05-24 17:40:00,0.44,0.18,2.35,-0.04,0.71,0.68,16.6,119.9,53,8.96
2022-05-24 17:45:00,0.13,0.27,2.37,-0.08,0.44,0.36,17.45,137.9,51,9.02
2022-05-24 17:50:00,0.16,0.45,2.43,-0.05,0.69,0.64,16.09,126.4,51,9.14
2022-05-24 17:55:00,0.08,0.35,2.38,-0.05,0.58,0.53,14.41,145.9,50,9.31
2022-05-24 18:00:00,0.02,0.2,2.36,-0.09,0.62,0.53,18.39,151.7,49,9.21
2022-05-24 18:05:00,0.04,0.18,2.34,-0.07,0.71,0.63,14.56,133.3,49,9.3
2022-05-24 18:10:00,0.03,0.18,2.35,-0.03,0.62,0.59,15.46,141.2,48,9.48
2022-05-24 18:15:00,0.01,0.31,2.33,0,0.62,0.62,16.88,140.4,48,9.46
2022-05-24 18:20:00,-0.05,0.27,2.33,0.01,0.91,0.93,14.08,129,48,9.35
2022-05-24 18:25:00,0.06,0.4,2.33,0.08,0.98,1.06,16.67,134.5,48,9.41
2022-05-24 18:30:00,0.02,0.32,2.32,0.45,2.07,2.52,17.89,142.4,48,9.26
2022-05-24 18:35:00,-0.04,0.22,2.32,-0.04,0.6,0.57,18.93,142.9,48,9.26
2022-05-24 18:40:00,-0.18,0.11,2.37,0.07,0.77,0.83,17.24,129.9,48,9.12
2022-05-24 18:45:00,-0.06,0.38,2.35,0.14,1.13,1.27,14.23,131.8,49,9.08
2022-05-24 18:50:00,-0.09,0.13,2.35,0.05,0.87,0.92,17.62,130.4,48,8.93
2022-05-24 18:55:00,-0.02,0.4,2.35,0.02,0.82,0.85,14.06,139.6,48,8.81
2022-05-24 19:00:00,0.06,0.32,2.38,0.12,1.41,1.53,12.68,131.4,49,8.8
2022-05-24 19:05:00,0.01,0.3,2.36,0.17,1.45,1.61,14.3,138.9,49,8.8
2022-05-24 19:10:00,-0.01,0.43,2.37,0.06,1.07,1.13,12.19,128.3,49,8.8
2022-05-24 19:15:00,0.01,0.42,2.36,-0.01,0.94,0.93,12.39,126.9,49,8.84
2022-05-24 19:20:00,0.05,0.29,2.35,-0.06,0.75,0.7,12.76,128.8,48,8.8
2022-05-24 19:25:00,-0.1,0.15,2.35,-0.06,0.71,0.64,13.96,129.2,48,8.78
2022-05-24 19:30:00,0.03,0.17,2.36,0.09,1.36,1.45,10.29,122.4,50,8.75
2022-05-24 19:35:00,-0.03,0.31,2.35,0.06,1.31,1.37,10.1,124.7,50,8.6
2022-05-24 19:40:00,0,0.2,2.33,-0.07,1.06,0.99,10.91,122.6,50,8.53
2022-05-24 19:45:00,-0.04,0.17,2.32,0.29,2.43,2.72,10.75,120.1,50,8.5
2022-05-24 19:50:00,-0.27,0.3,2.35,-0.05,1.08,1.03,12.23,112,51,8.44
2022-05-24 19:55:00,-0.03,0.36,2.33,0.01,0.96,0.98,10.98,113.1,51,8.34
2022-05-24 20:00:00,-0.23,0.37,2.33,-0.1,0.62,0.52,9.91,109,51,8.26
2022-05-24 20:05:00,-0.15,0.18,2.34,-0.15,0.55,0.4,9.9,108.4,52,8.2
2022-05-24 20:10:00,0.02,0.22,2.32,-0.09,1.14,1.05,10.02,113.1,52,8.19
2022-05-24 20:15:00,-0.2,0.26,2.34,-0.14,0.56,0.43,11.18,107.4,52,8.1
2022-05-24 20:20:00,-0.1,0.41,2.36,-0.12,0.62,0.5,11.67,109.7,53,8.1
2022-05-24 20:25:00,-0.15,0.16,2.33,-0.06,0.79,0.72,10.96,110.5,53,8.01
2022-05-24 20:30:00,-0.14,0.16,2.35,-0.08,0.72,0.65,11.03,111.9,53,7.99
2022-05-24 20:35:00,0.28,0.28,2.34,-0.11,0.7,0.59,11.31,113,53,7.96
2022-05-24 20:40:00,11.07,0.12,2.35,-0.14,1.56,1.42,12.32,110.7,52,8.07
2022-05-24 20:45:00,6.25,0.38,2.4,-0.14,1.14,1.01,13.25,108.9,52,8.08
2022-05-24 20:50:00,1.27,0.33,2.42,0.01,1.61,1.61,10.62,112.5,53,7.95
2022-05-24 20:55:00,0.35,0.8,2.44,0.16,1.56,1.72,13.43,111.1,53,7.82
2022-05-24 21:00:00,0.13,0.62,2.42,-0.12,0.94,0.82,12.53,112.8,54,7.78
2022-05-24 21:05:00,0.18,0.21,2.34,-0.1,0.75,0.65,11.68,120.9,54,7.64
2022-05-24 21:10:00,-0.11,0.14,2.38,-0.03,1.01,0.98,10.74,124.1,54,7.6
2022-05-24 21:15:00,-0.07,0.14,2.37,-0.02,0.84,0.82,10.57,115.1,55,7.57
2022-05-24 21:20:00,0.05,0.21,2.36,-0.12,0.68,0.57,8.79,115.4,55,7.47
2022-05-24 21:25:00,-0.26,0.14,2.35,-0.08,1.13,1.05,8.54,124.2,55,7.4
2022-05-24 21:30:00,-0.11,0.24,2.33,-0.05,1.28,1.23,7.68,115.7,56,7.4
2022-05-24 21:35:00,0,0.44,2.35,-0.02,1.36,1.34,9.16,115.1,56,7.4
2022-05-24 21:40:00,-0.02,0.35,2.37,-0.18,0.44,0.26,10.69,110.9,56,7.3
2022-05-24 21:45:00,0.01,0.36,2.35,-0.14,0.57,0.43,10.06,113.4,56,7.2
2022-05-24 21:50:00,0.07,0.14,2.35,-0.05,1.12,1.07,9.77,117.5,57,7.2
2022-05-24 21:55:00,0.05,0.17,2.35,-0.04,0.98,0.94,11.44,117,56,7.21
2022-05-24 22:00:00,-0.17,0.22,2.36,0.07,1.22,1.29,11.83,122.8,56,7.27
2022-05-24 22:05:00,-0.15,0.18,2.38,-0.02,1.22,1.2,11.23,120.4,55,7.3
2022-05-24 22:10:00,-0.08,0.2,2.36,0.04,1.41,1.44,11.76,124.6,55,7.21
2022-05-24 22:15:00,-0.06,0.34,2.37,-0.06,1.4,1.34,11.46,124.2,55,7.2
2022-05-24 22:20:00,-0.04,0.23,2.35,-0.02,1.17,1.15,10.07,122.2,56,7.12
2022-05-24 22:25:00,-0.48,0,2.34,0.08,1.44,1.51,10.64,123.7,56,7.08
2022-05-24 22:30:00,-0.29,0.12,2.38,-0.07,1.08,1,11.09,125.4,56,7.07
2022-05-24 22:35:00,-0.09,0.18,2.33,0.01,1.35,1.37,8.92,128.2,57,7.04
2022-05-24 22:40:00,0.08,0.26,2.38,0.07,1.65,1.73,9.84,125.4,57,6.97
2022-05-24 22:45:00,-0.17,0.27,2.38,-0.06,1.1,1.04,9.6,120.1,57,6.9
2022-05-24 22:50:00,-0.25,0.02,2.36,-0.06,1.02,0.96,10,123.5,58,6.86
2022-05-24 22:55:00,-0.05,0.07,2.36,-0.01,1.09,1.09,10.35,125.9,58,6.78
2022-05-24 23:00:00,-0.2,0.2,2.36,-0.03,1.04,1,11.08,125,61,6.66
2022-05-24 23:05:00,-0.11,0.25,2.38,0,1.02,1.02,11.02,128.7,63,6.6
2022-05-24 23:10:00,0.11,0.16,2.38,0.03,1.04,1.06,12.43,124.5,62,6.59
2022-05-24 23:15:00,-0.15,0.15,2.35,0.06,1.04,1.1,12.52,127.7,62,6.6
2022-05-24 23:20:00,-0.1,0.15,2.39,0.11,1.27,1.38,11.37,129.5,62,6.6
2022-05-24 23:25:00,-0.09,0.43,2.39,0.02,1.07,1.09,11.02,133.3,62,6.6
2022-05-24 23:30:00,-0.1,0.1,2.36,0,0.83,0.83,11.93,134,62,6.6
2022-05-24 23:35:00,-0.13,0.29,2.37,-0.01,0.89,0.88,11.93,134.9,62,6.6
2022-05-24 23:40:00,-0.15,0.47,2.34,-0.07,0.73,0.66,11.59,133.2,62,6.57
2022-05-24 23:45:00,-0.36,0.52,2.37,-0.04,0.94,0.9,12.32,130.4,63,6.59
2022-05-24 23:50:00,-0.11,0.37,2.34,-0.05,0.75,0.7,12.7,132.9,63,6.6
2022-05-24 23:55:00,-0.03,0.59,2.35,0.04,0.95,0.99,11.83,127.7,64,6.55
2022-05-25 00:00:00,-0.24,0.35,2.34,0.03,0.91,0.95,12.82,124.1,64,6.51
2022-05-25 00:05:00,0.08,0.23,2.34,0,0.85,0.86,12.78,126.6,64,6.47
2022-05-25 00:10:00,-0.18,0.13,2.39,0.04,0.87,0.91,13.31,123.9,65,6.38
2022-05-25 00:15:00,-0.08,0.21,2.35,-0.04,0.84,0.81,11.39,121.7,65,6.26
2022-05-25 00:20:00,-0.13,0.22,2.38,-0.06,0.81,0.75,11.59,117.9,67,6.2
2022-05-25 00:25:00,0,0.2,2.35,-0.1,0.8,0.71,12,120.2,67,6.1
2022-05-25 00:30:00,-0.11,0.18,2.35,0.03,1,1.03,11.46,123.5,67,6.1
2022-05-25 00:35:00,-0.13,0.16,2.34,-0.01,0.79,0.78,12.16,127.8,67,6.1
2022-05-25 00:40:00,-0.18,0.21,2.33,-0.06,0.87,0.81,11.42,125.3,67,6.08
2022-05-25 00:45:00,0,0.06,2.34,0.04,1.01,1.04,11.86,128.6,67,6
2022-05-25 00:50:00,0,0.28,2.32,-0.03,0.9,0.88,12.69,125.9,68,5.97
2022-05-25 00:55:00,-0.23,0.16,2.35,0.04,1.14,1.18,13.24,125.8,68,5.9
2022-05-25 01:00:00,-0.07,0.15,2.38,0.08,1.08,1.16,13.31,126,69,5.84
2022-05-25 01:05:00,-0.28,0.19,2.41,-0.04,0.64,0.59,12.9,126.9,69,5.73
2022-05-25 01:10:00,-0.11,0.23,2.35,Z/S,Z/S,Z/S,12.05,126.5,69,5.59
2022-05-25 01:15:00,-0.09,0.09,2.34,Z/S,Z/S,Z/S,13.21,124.9,70,5.5
2022-05-25 01:20:00,-0.1,0.01,2.34,Z/S,Z/S,Z/S,14.19,125.8,70,5.4
2022-05-25 01:25:00,-0.04,0.2,2.33,Z/S,Z/S,Z/S,12.15,126.6,71,5.3
2022-05-25 01:30:00,-0.11,0.13,2.38,Z/S,Z/S,Z/S,11.08,127.2,71,5.2
2022-05-25 01:35:00,-0.03,0.4,2.35,346.5,491.3,838,11.36,130.6,71,5.19
2022-05-25 01:40:00,0.09,0.26,2.36,Z/S,Z/S,Z/S,10.57,129.9,71,5.11
2022-05-25 01:45:00,-0.13,0.14,2.35,Z/S,Z/S,Z/S,10.01,129.5,72,5.06
2022-05-25 01:50:00,-0.03,0.2,2.41,-0.08,0.28,0.21,12.56,126.4,71,5
2022-05-25 01:55:00,-0.07,0.45,2.42,Z/S,Z/S,Z/S,10.61,128.2,71,4.95
2022-05-25 02:00:00,0.02,-0.01,2.41,Z/S,Z/S,Z/S,12.88,130.3,71,4.94
2022-05-25 02:05:00,-0.17,0.32,2.37,0.02,1.09,1.11,12.67,127.2,71,5
2022-05-25 02:10:00,-0.11,0.49,2.35,0.11,1.19,1.29,11.47,122.1,71,5
2022-05-25 02:15:00,-0.05,0.42,2.35,0.19,1.5,1.7,10.1,121.9,72,4.87
2022-05-25 02:20:00,-0.2,0.3,2.32,0.01,1.33,1.34,12.08,122.3,72,4.63
2022-05-25 02:25:00,-0.11,0.36,2.36,0,1.35,1.35,11.17,119.2,73,4.45
2022-05-25 02:30:00,-0.1,0.39,2.31,-0.03,1.27,1.24,10.93,123.4,73,4.35
2022-05-25 02:35:00,-0.06,0.5,2.34,0.05,1.47,1.52,10.54,122.6,74,4.24
2022-05-25 02:40:00,-0.08,0.25,2.36,0.05,1.33,1.38,11.87,124.8,74,4.2
2022-05-25 02:45:00,-0.01,0.38,2.39,0.02,1.15,1.17,12.08,129.5,74,4.2
2022-05-25 02:50:00,-0.02,0.52,2.38,0.17,1.43,1.61,12.72,128.2,73,4.25
2022-05-25 02:55:00,0.01,0.16,2.36,0.1,1.54,1.64,12.35,126.4,74,4.2
2022-05-25 03:00:00,-0.05,0.3,2.35,0.19,2.34,2.52,11.9,123.9,74,4.16
2022-05-25 03:05:00,Z/S,0.48,Z/S,0.28,2.77,3.05,12.39,124.3,74,4.07
2022-05-25 03:10:00,Z/S,0.31,Z/S,0.2,1.84,2.04,12.59,123.6,75,4.05
2022-05-25 03:15:00,Z/S,0.31,Z/S,0.23,2.33,2.56,12.32,122.4,75,3.9
2022-05-25 03:20:00,Z/S,0.14,Z/S,0.29,2.48,2.78,12.34,125.1,76,3.83
2022-05-25 03:25:00,Z/S,0.27,Z/S,0.44,3.01,3.45,12.68,126,76,3.83
2022-05-25 03:30:00,Z/S,0.27,Z/S,0.64,4.19,4.83,12.37,123.1,77,3.72
2022-05-25 03:35:00,Z/S,0.29,Z/S,0.7,3.88,4.58,12.45,123.7,77,3.7
2022-05-25 03:40:00,Z/S,0.13,Z/S,0.88,4.69,5.57,11.32,120.6,77,3.66
2022-05-25 03:45:00,Z/S,0.29,Z/S,1,4.97,5.97,11.11,117.3,78,3.55
2022-05-25 03:50:00,Z/S,0.37,Z/S,0.91,4.2,5.11,12.01,123.5,78,3.55
2022-05-25 03:55:00,Z/S,0.18,Z/S,0.96,4.62,5.58,11.9,123.4,78,3.6
2022-05-25 04:00:00,Z/S,0.31,Z/S,1.49,7.02,8.51,9.75,121.4,79,3.58
2022-05-25 04:05:00,0.02,0.29,2.31,1.42,5.96,7.38,9.95,122.3,79,3.52
2022-05-25 04:10:00,-0.09,Z/S,2.36,1.11,4.59,5.7,11.77,118.1,79,3.4
2022-05-25 04:15:00,-0.04,Z/S,2.31,0.61,3.48,4.09,12.64,121.7,79,3.5
2022-05-25 04:20:00,-0.1,Z/S,2.35,0.76,3.78,4.54,11.11,121.6,79,3.6
2022-05-25 04:25:00,-0.05,Z/S,2.32,1.2,4.92,6.12,12.61,122.5,79,3.6
2022-05-25 04:30:00,-0.19,Z/S,2.37,0.76,3.52,4.28,12.07,119.3,80,3.63
2022-05-25 04:35:00,0.01,Z/S,2.35,0.82,3.36,4.18,12.65,121,80,3.69
2022-05-25 04:40:00,-0.11,Z/S,2.38,0.74,3.64,4.38,13.34,119.4,80,3.7
2022-05-25 04:45:00,-0.13,Z/S,2.35,0.55,2.75,3.3,13.43,118.8,80,3.78
2022-05-25 04:50:00,0.13,Z/S,2.37,0.97,3.58,4.55,12.57,121.4,80,3.84
2022-05-25 04:55:00,0.02,Z/S,2.4,0.57,2.94,3.51,13.23,122.3,80,3.9
2022-05-25 05:00:00,0.06,0.12,2.39,0.74,3.31,4.04,13.37,122.2,80,3.98
2022-05-25 05:05:00,-0.02,0.1,2.34,0.4,2.16,2.56,13.04,124.2,79,4.04
2022-05-25 05:10:00,0.04,0.22,2.38,0.4,2.14,2.54,11.94,123.7,79,4.07
2022-05-25 05:15:00,0.04,0.03,2.38,0.43,2.26,2.69,12.64,120.3,79,4.1
2022-05-25 05:20:00,-0.09,0.04,2.36,0.12,1.33,1.44,13.24,120.8,79,4.1
2022-05-25 05:25:00,0.04,0.12,2.38,0.34,2,2.34,11.55,123.2,80,4.17
2022-05-25 05:30:00,0.1,0.24,2.35,0.47,2.6,3.07,11.24,122.9,79,4.2
2022-05-25 05:35:00,-0.01,-0.09,2.34,0.25,1.88,2.13,12.02,126.7,79,4.13
2022-05-25 05:40:00,0.01,-0.02,2.32,0.17,1.7,1.87,10.9,121.3,79,4.21
2022-05-25 05:45:00,-0.08,0.09,2.34,0.04,1.37,1.41,9.29,119.9,79,4.3
2022-05-25 05:50:00,-0.18,-0.08,2.33,0.15,1.89,2.04,10.63,127.3,79,4.32
2022-05-25 05:55:00,-0.03,0.02,2.34,0.24,2.2,2.43,9.93,129,79,4.41
2022-05-25 06:00:00,-0.01,-0.01,2.33,0.1,1.36,1.46,10.55,128.3,78,4.5
2022-05-25 06:05:00,-0.07,-0.07,2.35,0.11,1.47,1.58,9.93,130.3,78,4.61
2022-05-25 06:10:00,-0.15,0.04,2.34,0.03,1.04,1.07,13.29,136.2,78,4.66
2022-05-25 06:15:00,-0.06,0.25,2.37,-0.01,0.91,0.9,9.78,132.3,79,4.69
2022-05-25 06:20:00,-0.02,0.28,2.33,0.13,1.56,1.69,9.27,130.1,80,4.84
2022-05-25 06:25:00,-0.19,0.3,2.37,0.2,1.79,1.99,10.37,129,79,4.87
2022-05-25 06:30:00,-0.05,0.28,2.33,0.01,1.03,1.04,12.39,133.1,79,4.9
2022-05-25 06:35:00,0.03,0.5,2.32,0.06,1.19,1.25,11.25,136.2,79,4.97
2022-05-25 06:40:00,0.02,0.32,2.33,0.34,2.14,2.48,9.78,130.9,79,5.07
2022-05-25 06:45:00,-0.1,0.61,2.32,0.14,1.48,1.62,10.46,138,78,5.18
2022-05-25 06:50:00,-0.18,0.45,2.33,0.25,1.96,2.21,10.77,128.1,77,5.31
2022-05-25 06:55:00,-0.04,0.7,2.32,0.29,1.98,2.27,10.37,126.7,76,5.42
2022-05-25 07:00:00,-0.23,0.66,2.37,0.14,1.67,1.81,10.3,131.8,77,5.53
2022-05-25 07:05:00,-0.08,0.48,2.33,-0.04,1.03,0.99,9.48,134.1,76,5.59
2022-05-25 07:10:00,-0.12,0.31,2.34,0.09,1.38,1.46,7.8,132.4,76,5.75
2022-05-25 07:15:00,-0.05,0.41,2.31,0.27,1.97,2.25,8.37,124.3,76,5.9
2022-05-25 07:20:00,-0.08,0.05,2.35,0.27,1.87,2.14,8.09,121.5,76,6.01
2022-05-25 07:25:00,-0.06,0.46,2.35,0.19,1.41,1.6,9.08,124.6,76,6.14
2022-05-25 07:30:00,-0.04,0.33,2.33,0.13,1.33,1.47,9.38,121.1,77,6.2
2022-05-25 07:35:00,-0.12,0.47,2.32,0.22,1.41,1.63,9.63,123.4,76,6.3
2022-05-25 07:40:00,-0.01,0.36,2.33,0.03,0.84,0.87,10,117.4,76,6.36
2022-05-25 07:45:00,-0.13,0.36,2.34,-0.02,0.72,0.7,9.1,110.9,76,6.47
2022-05-25 07:50:00,-0.06,0.29,2.34,-0.06,0.69,0.63,9.05,121.4,75,6.57
2022-05-25 07:55:00,-0.11,0.03,2.36,0.08,1.08,1.16,11.58,125.8,73,6.68
2022-05-25 08:00:00,-0.21,0.15,2.35,-0.06,0.68,0.62,11.13,123,72,6.61
2022-05-25 08:05:00,-0.07,0.29,2.31,0.07,1.16,1.24,10,126,73,6.62
2022-05-25 08:10:00,-0.15,0.25,2.33,-0.11,0.57,0.46,10.07,116.7,72,6.56
2022-05-25 08:15:00,-0.09,0.23,2.32,0.07,1.09,1.15,9.66,125.2,73,6.68
2022-05-25 08:20:00,-0.09,0.57,2.33,0.08,1.05,1.13,8.49,110,72,6.7
