Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS11, L1, 5Mn
Exported On:,2022/08/24,10:54
Date Range:,2021/8/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), THC (ppm), CH4 (ppm), NMHC (ppm), Temp @ 2m (deg. C), RH (%), Wind Speed @ 10m (km/h), Wind Dir. @ 10m (deg.)
2022-05-24 12:20:00,0,0,2,2,0,8.1,59,7.45,59.9
2022-05-24 12:25:00,0,0,2,2,0,8.13,62,10.73,85.9
2022-05-24 12:30:00,2.76,0,2.02,2.01,0.005,7.77,65,9.88,100
2022-05-24 12:35:00,0.72,0,2.01,2.01,0,7.66,60,11.09,86.3
2022-05-24 12:40:00,0,0,2.01,2.01,0,7.96,59,11.87,88
2022-05-24 12:45:00,0,0,2.02,2.01,0.004,8.09,60,10.76,77.73
2022-05-24 12:50:00,0,0,2.02,2.01,0.006,8.11,58,9.92,81.5
2022-05-24 12:55:00,0,0,2.01,2.01,0,8.23,60,9.75,67.27
2022-05-24 13:00:00,0,0,2.01,2.01,0,8.27,61,9.88,62.48
2022-05-24 13:05:00,0,0,2.01,2.01,0,8.29,61,9.86,58.87
2022-05-24 13:10:00,0,0,2,2,0,8.4,61,9.67,71.36
2022-05-24 13:15:00,0.22,0,2.02,2.02,0,8.55,56,6.27,121.3
2022-05-24 13:20:00,0.09,0,2.02,2.02,0.002,8.76,56,10.56,90.4
2022-05-24 13:25:00,0,0,2.02,2.02,0.003,8.83,56,11.76,87.5
2022-05-24 13:30:00,0,0,2.01,2.01,0,8.9,56,8.18,51.92
2022-05-24 13:35:00,0,0,2.01,2.01,0,9.05,57,11.32,93.3
2022-05-24 13:40:00,0,0,2.01,2.01,0,9.22,53,13.97,94.8
2022-05-24 13:45:00,0,0,2.01,2.01,0,9.21,53,12.72,81.3
2022-05-24 13:50:00,0,0,2.01,2.01,0,9.29,53,11.46,93.8
2022-05-24 13:55:00,0,0,2.01,2.01,0,9.41,52,9.22,94.7
2022-05-24 14:00:00,0,0,2,2,0,9.59,54,12.17,88.9
2022-05-24 14:05:00,0,0,2.02,2.01,0.006,9.68,56,10.91,87.5
2022-05-24 14:10:00,0,0,2.03,2.03,0,10.32,52,12.97,110.6
2022-05-24 14:15:00,0,0,2.04,2.02,0.022,10.49,52,14.7,124.2
2022-05-24 14:20:00,0,0,2.03,2.02,0.005,10.69,54,14.71,130
2022-05-24 14:25:00,0,0.01,2,2,0,10.95,54,16.74,128.4
2022-05-24 14:30:00,0,0,2.01,2.01,0.002,10.98,53,15.71,130.4
2022-05-24 14:35:00,0,0,2.01,2.01,0.007,10.73,51,16.95,112.6
2022-05-24 14:40:00,0,0,2.01,2.01,0,10.47,51,16.47,103.2
2022-05-24 14:45:00,0,0,2.02,2.02,0,10.84,53,14.2,132
2022-05-24 14:50:00,0,0,2.01,2.01,0,11.32,50,16.91,111
2022-05-24 14:55:00,0,0,2.03,2.02,0.005,11.54,51,15.48,122
2022-05-24 15:00:00,0,0,2.02,2.02,0.003,11.52,50,17.36,122.5
2022-05-24 15:05:00,0,0,2.04,2.02,0.016,11.98,49,19.55,129.8
2022-05-24 15:10:00,0,0,2.03,2.01,0.019,12.14,49,17.92,136.1
2022-05-24 15:15:00,0,0,2.03,2.01,0.019,12.74,47,17.76,142.8
2022-05-24 15:20:00,0,0,2.03,2.01,0.019,12.84,48,20.86,132.4
2022-05-24 15:25:00,0,0,2.02,2.01,0.009,12.64,47,14.65,130.5
2022-05-24 15:30:00,0,0,2.01,2.01,0.004,12.72,46,20.98,134.4
2022-05-24 15:35:00,0,0,2.01,2.01,0,12.86,47,17.28,138.9
2022-05-24 15:40:00,0,0,2.02,2.01,0.011,12.8,47,21.01,134.3
2022-05-24 15:45:00,0,0,2.02,2,0.016,12.66,47,20.56,131.2
2022-05-24 15:50:00,0,0,2.02,2.01,0.013,12.62,46,15.58,142.5
2022-05-24 15:55:00,0,0,2.02,2.01,0.012,12.67,49,18.22,132.3
2022-05-24 16:00:00,0,0,2.02,2.01,0.01,12.68,50,17.2,133.6
2022-05-24 16:05:00,0,0,2.02,2.02,0,13.78,49,16.74,139.4
2022-05-24 16:10:00,0,0,2.02,2.02,0,13.68,46,16.9,135.5
2022-05-24 16:15:00,0,0,2.02,2.02,0,12.9,46,20.15,126.3
2022-05-24 16:20:00,0.38,0,2.04,2.04,0,13.15,47,18.11,139
2022-05-24 16:25:00,0,0,2.03,2.02,0.005,13.14,47,19,127
2022-05-24 16:30:00,0,0,2.03,2.02,0.003,13.05,48,13.54,135.3
2022-05-24 16:35:00,0,0,2.03,2.02,0.009,13.33,48,18.58,138.3
2022-05-24 16:40:00,0,0,2.02,2.02,0,13.09,47,14.59,124.5
2022-05-24 16:45:00,0,0,2.02,2.02,0.005,12.72,45,12.15,130.8
2022-05-24 16:50:00,0,0,2.03,2.02,0.01,12.77,48,16.75,132.6
2022-05-24 16:55:00,0,0,2.04,2.03,0.006,12.67,47,14.13,120.8
2022-05-24 17:00:00,0,0,2.02,2.02,0,12.67,49,14.3,127.7
2022-05-24 17:05:00,0,0,2.02,2.02,0.001,12.63,48,15.47,129.8
2022-05-24 17:10:00,0,0,2.03,2.02,0.006,12.61,48,15.92,128.5
2022-05-24 17:15:00,0,0,2.03,2.02,0.008,12.62,47,14.4,121.8
2022-05-24 17:20:00,0,0,2.03,2.01,0.019,12.72,45,12.74,129.2
2022-05-24 17:25:00,0,0,2.02,2.02,0.009,12.93,45,11.58,104.4
2022-05-24 17:30:00,0,0,2.02,2.02,0,12.82,45,12.46,95.2
2022-05-24 17:35:00,0,0,2.04,2.03,0.011,12.87,43,14.86,110.8
2022-05-24 17:40:00,0,0,2.06,2.03,0.029,13.01,44,15.72,109.2
2022-05-24 17:45:00,0,0,2.05,2.03,0.02,12.97,45,14.85,110.8
2022-05-24 17:50:00,0,0,2.05,2.02,0.028,12.92,43,13.83,116.4
2022-05-24 17:55:00,0,0,2.05,2.02,0.029,13.06,43,15.3,110.4
2022-05-24 18:00:00,0,0,2.06,2.03,0.024,13.28,45,15.85,126.6
2022-05-24 18:05:00,3.56,0,2.03,2.03,0.003,13.31,51,16.35,136.4
2022-05-24 18:10:00,0.12,0,2.03,2.03,0,13.22,48,20.14,130.5
2022-05-24 18:15:00,0,0,2.04,2.04,0,12.95,48,20.09,126.9
2022-05-24 18:20:00,0,0,2.03,2.03,0,13.02,43,18.93,112.3
2022-05-24 18:25:00,0,0,2.02,2.02,0,12.9,45,14.45,125.9
2022-05-24 18:30:00,0.32,0,2.03,2.03,0,12.83,48,17.75,130.7
2022-05-24 18:35:00,0.12,0,2.02,2.02,0.008,13.08,51,14.32,133.4
2022-05-24 18:40:00,0,0,2.05,2.05,0,13.16,48,16.18,128.8
2022-05-24 18:45:00,0,0,2.08,2.07,0.008,13.19,46,17.4,119.7
2022-05-24 18:50:00,0,0,2.05,2.05,0,13.16,47,15.73,127.8
2022-05-24 18:55:00,0,0,2.06,2.05,0.015,13.01,45,15.1,119.5
2022-05-24 19:00:00,0,0,2.11,2.07,0.031,12.76,49,17.21,121.4
2022-05-24 19:05:00,0,0,2.07,2.04,0.033,12.57,49,14.31,124.1
2022-05-24 19:10:00,0,0,2.05,2.02,0.027,12.51,47,12.35,110.3
2022-05-24 19:15:00,0,0,2.05,2.02,0.027,12.45,50,13.77,122.5
2022-05-24 19:20:00,0,0,2.08,2.05,0.032,12.43,48,13.1,110.4
2022-05-24 19:25:00,0,0,2.06,2.05,0.017,12.6,47,13.28,116
2022-05-24 19:30:00,0,0,2.06,2.05,0.011,12.68,46,11.83,114.8
2022-05-24 19:35:00,0,0,2.04,2.04,0.005,12.63,46,14.9,111.6
2022-05-24 19:40:00,0,0,2.02,2.02,0.008,12.6,46,16.01,117.2
2022-05-24 19:45:00,0,0,2.04,2.02,0.024,12.6,47,14.62,114.2
2022-05-24 19:50:00,0,0,2.04,2.01,0.025,12.6,46,13.55,109.7
2022-05-24 19:55:00,0,0,2.01,2.01,0.001,12.6,47,14.27,113
2022-05-24 20:00:00,0,0,2.01,2.01,0,12.57,47,13.48,105.2
2022-05-24 20:05:00,0,0,2.01,2.01,0,12.53,46,13.91,109.4
2022-05-24 20:10:00,0,0,2.01,2.01,0,12.57,46,12.67,114.3
2022-05-24 20:15:00,0,0,2.01,2.01,0,12.49,47,11.54,107.6
2022-05-24 20:20:00,0,0,2.02,2.02,0,12.4,47,13.55,117.8
2022-05-24 20:25:00,0,0,2.02,2.02,0.005,12.29,49,13.09,122.4
2022-05-24 20:30:00,0,0,2.02,2.02,0,12.3,49,13.86,119.1
2022-05-24 20:35:00,0,0,2.01,2.01,0,12.27,49,13.82,120.7
2022-05-24 20:40:00,0,0,2.01,2.01,0,12.2,49,15.33,120
2022-05-24 20:45:00,0,0,2.01,2.01,0,12.18,49,15.32,114.5
2022-05-24 20:50:00,0,0,2.01,2.01,0,12.17,49,14.64,117.2
2022-05-24 20:55:00,0,0,2.01,2.01,0,12.11,49,12.52,113.6
2022-05-24 21:00:00,0,0,2.03,2.02,0.009,12.1,47,11.35,106.1
2022-05-24 21:05:00,0,0,2.02,2.02,0,12,50,10.66,112.8
2022-05-24 21:10:00,0,0,2.02,2.02,0,11.82,51,9.69,115
2022-05-24 21:15:00,0,0,2.01,2.01,0,11.57,52,8.57,106.4
2022-05-24 21:20:00,0,0,2.04,2.04,0,11.64,53,7.73,84.4
2022-05-24 21:25:00,0,0,2.06,2.06,0,11.39,58,4.44,72.3
2022-05-24 21:30:00,0,0,2.07,2.07,0,11.12,55,9.24,125.8
2022-05-24 21:35:00,0,0,2.05,2.05,0,10.78,57,9.61,113.7
2022-05-24 21:40:00,0,0,2.08,2.08,0,10.79,62,7.45,68.08
2022-05-24 21:45:00,0,0,2.06,2.06,0,10.89,59,6.68,74.26
2022-05-24 21:50:00,0,0,2.07,2.07,0,10.64,61,7.88,87.6
2022-05-24 21:55:00,0,0,2.08,2.08,0,10.72,57,9.83,106
2022-05-24 22:00:00,0,0,2.07,2.07,0,11.07,52,11.94,109.1
2022-05-24 22:05:00,0,0,2.06,2.06,0,11.2,51,15.62,113.4
2022-05-24 22:10:00,0,0,2.06,2.06,0.01,11.28,50,12.46,110.6
2022-05-24 22:15:00,0,0,2.04,2.04,0,11.05,53,11.47,113.2
2022-05-24 22:20:00,0,0,2.06,2.05,0.007,10.7,57,13.51,124
2022-05-24 22:25:00,0,0,2.12,2.08,0.042,10.59,60,17.17,129.4
2022-05-24 22:30:00,0,0,2.14,2.11,0.035,10.72,59,20.1,127
2022-05-24 22:35:00,0,0,2.18,2.13,0.053,10.8,58,18.49,123
2022-05-24 22:40:00,0,0,2.21,2.15,0.052,10.9,56,19.6,123.9
2022-05-24 22:45:00,0,0,2.2,2.14,0.054,10.88,57,20.21,125.7
2022-05-24 22:50:00,0,0,2.14,2.1,0.034,10.74,60,16.58,123.5
2022-05-24 22:55:00,0,0,2.13,2.09,0.033,10.68,60,16.95,121.9
2022-05-24 23:00:00,0,0,2.13,2.09,0.04,10.65,60,16.96,122.7
2022-05-24 23:05:00,0,0,2.13,2.09,0.042,10.55,61,16.56,128.4
2022-05-24 23:10:00,0,0,2.14,2.12,0.025,10.5,62,16.19,126.4
2022-05-24 23:15:00,0,0,2.19,2.14,0.046,10.49,61,20.33,125.3
2022-05-24 23:20:00,0,0,2.22,2.15,0.066,10.44,59,19.48,124.4
2022-05-24 23:25:00,0,0.11,2.21,2.14,0.069,10.37,60,17.73,124.5
2022-05-24 23:30:00,0,0,2.2,2.14,0.063,10.22,61,19.26,120.2
2022-05-24 23:35:00,0,0,2.18,2.1,0.077,10.2,59,16.51,119.2
2022-05-24 23:40:00,0,0,2.13,2.04,0.088,10.07,58,16.51,120.9
2022-05-24 23:45:00,0,0,2.12,2.03,0.091,9.9,61,17.39,119.2
2022-05-24 23:50:00,0,0.33,2.15,2.06,0.092,9.56,63,15.91,117.7
2022-05-24 23:55:00,0,0,2.18,2.09,0.092,9.2,65,13.43,130
2022-05-25 00:00:00,0,0.06,2.2,2.12,0.083,9.13,66,13.56,118.4
2022-05-25 00:05:00,0,0.21,2.15,2.06,0.091,9.39,63,13.93,112.4
2022-05-25 00:10:00,0,0,2.1,2.03,0.075,9.34,62,16.55,113.4
2022-05-25 00:15:00,0,0,2.09,2.02,0.061,9.38,63,18.49,119.6
2022-05-25 00:20:00,0,0,2.1,2.04,0.06,9,65,17.32,121.7
2022-05-25 00:25:00,0,0,2.07,2.03,0.04,8.83,67,17.27,123.3
2022-05-25 00:30:00,0,0,2.09,2.03,0.062,8.71,67,16.98,117.9
2022-05-25 00:35:00,0,0,2.11,2.04,0.069,8.63,67,16.17,118
2022-05-25 00:40:00,0,0,2.1,2.04,0.066,8.37,68,15.9,116.4
2022-05-25 00:45:00,0,0,2.11,2.05,0.06,8.03,69,14.3,124.9
2022-05-25 00:50:00,0,0,2.13,2.06,0.065,7.94,70,15.34,126.2
2022-05-25 00:55:00,0,0,2.15,2.08,0.071,7.68,72,13.38,131.9
2022-05-25 01:00:00,0,0,2.15,2.1,0.054,7.8,73,16.11,135.5
2022-05-25 01:05:00,0,0,2.13,2.09,0.035,7.88,74,14.58,127.3
2022-05-25 01:10:00,0,0.16,2.14,2.09,0.054,8.28,70,15.88,124.3
2022-05-25 01:15:00,0,0.02,2.14,2.09,0.046,7.96,72,15.68,125
2022-05-25 01:20:00,0,0.09,2.15,2.09,0.053,8.21,72,14.3,120.8
2022-05-25 01:25:00,0,0,2.18,2.12,0.06,8.28,70,16.11,119.9
2022-05-25 01:30:00,0,0.04,2.15,2.1,0.056,8.18,71,14.81,113.8
2022-05-25 01:35:00,0,0,2.18,2.1,0.08,8.25,69,10.85,101.5
2022-05-25 01:40:00,0,0.13,2.16,2.08,0.077,8.07,70,9.93,100.4
2022-05-25 01:45:00,0,0,2.16,2.08,0.08,7.79,71,9.9,105.3
2022-05-25 01:50:00,0,0,2.17,2.08,0.085,7.69,73,10.27,107.2
2022-05-25 01:55:00,0,0.04,2.16,2.08,0.081,7.52,72,9.6,95.2
2022-05-25 02:00:00,0,0.07,2.14,2.07,0.077,7.62,71,8.09,78.16
2022-05-25 02:05:00,0,0,2.15,2.07,0.074,7.33,72,5.85,73.2
2022-05-25 02:10:00,0,0,2.12,2.06,0.056,6.82,75,7.52,74.95
2022-05-25 02:15:00,0,0,2.13,2.07,0.061,6.4,76,7.06,74.43
2022-05-25 02:20:00,0,0,2.11,2.07,0.048,6.2,77,7.17,65.4
2022-05-25 02:25:00,0,0.02,2.1,2.06,0.031,6,78,5.12,51.21
2022-05-25 02:30:00,0,0,2.06,2.04,0.019,6.05,78,2.9,100.8
2022-05-25 02:35:00,0,0,2.05,2.03,0.02,6.24,78,1.29,189.8
2022-05-25 02:40:00,0,0,2.05,2.04,0.012,6.18,77,2.13,257.2
2022-05-25 02:45:00,0,0,2.1,2.07,0.035,6.02,78,4.07,269.2
2022-05-25 02:50:00,0,0.01,2.09,2.06,0.025,5.99,78,3.52,285.6
2022-05-25 02:55:00,0,0,2.07,2.06,0.009,6,78,2.17,272.4
2022-05-25 03:00:00,0,0,2.08,2.06,0.019,6.08,78,4.04,270.7
2022-05-25 03:05:00,Z/S,0,Z/S,Z/S,Z/S,6.15,78,2.73,266.8
2022-05-25 03:10:00,Z/S,0.21,Z/S,Z/S,Z/S,5.99,78,3.91,287.8
2022-05-25 03:15:00,Z/S,0.19,Z/S,Z/S,Z/S,6.25,79,6.35,305.2
2022-05-25 03:20:00,Z/S,0.19,Z/S,Z/S,Z/S,6.17,80,4.27,299.4
2022-05-25 03:25:00,Z/S,0.26,Z/S,Z/S,Z/S,6.13,80,3.69,282.2
2022-05-25 03:30:00,Z/S,0.07,Z/S,Z/S,Z/S,6.19,79,3.51,264.4
2022-05-25 03:35:00,Z/S,0.8,Z/S,Z/S,Z/S,6.05,79,4.78,269.2
2022-05-25 03:40:00,Z/S,0.18,Z/S,Z/S,Z/S,6.05,81,4,295.8
2022-05-25 03:45:00,Z/S,0.3,Z/S,Z/S,Z/S,6.05,81,3.75,295
2022-05-25 03:50:00,Z/S,0.68,Z/S,Z/S,Z/S,6.18,81,5,320.3
2022-05-25 03:55:00,Z/S,0.47,Z/S,Z/S,Z/S,6.16,81,2.55,283.4
2022-05-25 04:00:00,Z/S,0.2,Z/S,Z/S,Z/S,6.03,81,3.56,281.6
2022-05-25 04:05:00,0,Z/S,2.11,2.11,0.001,6.02,81,2.1,266.9
2022-05-25 04:10:00,0,Z/S,2.1,2.09,0.004,6.01,81,4.28,293.7
2022-05-25 04:15:00,0.03,Z/S,2.08,2.08,0.006,6.06,80,5.44,264.5
2022-05-25 04:20:00,0,Z/S,2.07,2.07,0,6.08,80,5.12,258.8
2022-05-25 04:25:00,0,Z/S,2.07,2.07,0,6.22,80,4.39,268.9
2022-05-25 04:30:00,0,Z/S,2.07,2.07,0,6.3,79,4,291
2022-05-25 04:35:00,0,Z/S,2.06,2.06,0,6.3,78,5.22,304.3
2022-05-25 04:40:00,0,Z/S,2.05,2.05,0.01,6.36,78,5.79,318.3
2022-05-25 04:45:00,0,Z/S,2.05,2.04,0.006,6.4,77,3.88,302.6
2022-05-25 04:50:00,0,Z/S,2.05,2.05,0,6.4,78,4.05,281.7
2022-05-25 04:55:00,0,Z/S,2.06,2.05,0.007,6.4,78,3.39,274.8
2022-05-25 05:00:00,0,Z/S,2.06,2.06,0,6.4,77,4.36,278.9
2022-05-25 05:05:00,0,0,2.05,2.05,0,6.43,77,7.67,307.2
2022-05-25 05:10:00,0,0,2.07,2.07,0,6.47,77,7.9,329.3
2022-05-25 05:15:00,0,0.21,2.08,2.08,0,6.48,77,3.93,335.8
2022-05-25 05:20:00,0,0,2.08,2.08,0.006,6.43,78,1.93,292
2022-05-25 05:25:00,0,0,2.06,2.06,0,6.43,77,4.9,311.2
2022-05-25 05:30:00,0,0.28,2.07,2.06,0.01,6.54,79,5.33,316
2022-05-25 05:35:00,0,0,2.05,2.05,0,6.51,78,2.77,270.3
2022-05-25 05:40:00,0,0,2.05,2.05,0,6.52,79,5.05,348.7
2022-05-25 05:45:00,0,0,2.05,2.05,0.001,6.6,81,5,19.91
2022-05-25 05:50:00,0,0,2.04,2.04,0,6.69,82,4.65,4.18
2022-05-25 05:55:00,0,0,2.04,2.04,0,6.64,81,3.53,324.5
2022-05-25 06:00:00,0,0,2.04,2.04,0,6.6,81,5.54,313
2022-05-25 06:05:00,0,0,2.05,2.05,0,6.64,82,4.02,331.4
2022-05-25 06:10:00,0,0,2.06,2.04,0.022,6.75,81,3.66,324.3
2022-05-25 06:15:00,0,0,2.07,2.04,0.032,6.92,81,3.43,329.9
2022-05-25 06:20:00,0,0,2.1,2.04,0.057,7.11,78,3.6,46.32
2022-05-25 06:25:00,0,0,2.1,2.05,0.051,7.21,76,2.4,6.46
2022-05-25 06:30:00,0,0,2.07,2.05,0.026,7.23,74,2.72,354
2022-05-25 06:35:00,0,0,2.06,2.05,0.017,7.43,75,3.8,60.8
2022-05-25 06:40:00,0,0,2.06,2.04,0.012,7.57,73,6.1,87.1
2022-05-25 06:45:00,0,0,2.04,2.04,0.007,7.8,72,6.94,105.5
2022-05-25 06:50:00,0,0,2.05,2.04,0.01,8,72,7.08,100.1
2022-05-25 06:55:00,0,0,2.06,2.04,0.016,8.1,71,5.84,101.7
2022-05-25 07:00:00,0,0,2.04,2.04,0,8.15,70,6.67,91.3
2022-05-25 07:05:00,0,0,2.05,2.04,0.003,8.1,70,6.02,99.9
2022-05-25 07:10:00,0,0,2.05,2.05,0.002,8.14,70,6.29,113.7
2022-05-25 07:15:00,0,0,2.05,2.05,0,8.26,70,7.77,110.1
2022-05-25 07:20:00,0,0,2.05,2.05,0,8.3,69,7.63,97.7
2022-05-25 07:25:00,0,0,2.05,2.05,0,8.42,69,4.84,108.5
2022-05-25 07:30:00,0,0,2.07,2.07,0,8.62,69,6.39,71.34
2022-05-25 07:35:00,0,0,2.08,2.08,0,8.66,68,3.87,67.48
2022-05-25 07:40:00,0,0,2.11,2.1,0.004,8.74,68,4.88,65.67
2022-05-25 07:45:00,0,0,2.11,2.11,0,8.93,67,4.23,102.5
2022-05-25 07:50:00,0,0,2.1,2.1,0,9.23,66,5.59,70.89
2022-05-25 07:55:00,0,0,2.08,2.08,0,9.31,66,5.86,92.5
2022-05-25 08:00:00,0,0,2.07,2.07,0,9.17,66,3.93,89.5
2022-05-25 08:05:00,0,0,2.09,2.08,0.012,9.33,65,3.52,153.7
2022-05-25 08:10:00,0,0,2.08,2.08,0.001,9.51,64,2.84,116.2
2022-05-25 08:15:00,0,0,2.09,2.07,0.016,9.35,65,4.33,111.1
2022-05-25 08:20:00,0,0,2.11,2.08,0.03,9.5,64,4.08,109
2022-05-25 08:25:00,0.52,0,2.07,2.07,0.004,9.59,64,2.34,105.7
2022-05-25 08:30:00,0,0,2.09,2.07,0.023,9.62,64,4.7,111.4
2022-05-25 08:35:00,0,0,2.08,2.08,0.009,9.62,63,2.98,101.4
2022-05-25 08:40:00,0,0,2.11,2.07,0.034,9.66,63,3.93,122.4
2022-05-25 08:45:00,0,0,2.07,2.07,0.007,9.61,63,3.99,107.7
2022-05-25 08:50:00,0,0,2.09,2.07,0.024,9.88,62,2.17,90.6
2022-05-25 08:55:00,0,0,2.1,2.07,0.029,9.72,62,2.43,56.46
2022-05-25 09:00:00,0,0,2.07,2.06,0.009,10.14,61,2.47,131.5
2022-05-25 09:05:00,0,0,2.06,2.06,0,10.53,60,3.13,123.4
2022-05-25 09:10:00,0,0,2.05,2.05,0,10.45,62,5.81,89.8
2022-05-25 09:15:00,0,0,2.05,2.05,0,11.19,59,5.11,92.1
2022-05-25 09:20:00,0,0,2.04,2.04,0,11.21,59,5.15,105.9
2022-05-25 09:25:00,0,0,2.04,2.04,0,11.75,59,6.26,138.3
2022-05-25 09:30:00,0,0,2.02,2.02,0,12.01,57,5.38,139
2022-05-25 09:35:00,0,0,2.01,2.01,0,11.9,56,4.68,131.2
2022-05-25 09:40:00,0,0,2.01,2.01,0,11.68,56,4.11,124.8
2022-05-25 09:45:00,0,0,2.01,2.01,0,11.54,56,3.33,136.8
2022-05-25 09:50:00,0,0,2.01,2.01,0,11.75,56,4.91,123.5
2022-05-25 09:55:00,0,0,2.01,2.01,0.001,11.92,56,5.06,147.3
2022-05-25 10:00:00,0,0,2.01,2.01,0,12.2,55,6.13,131.7
2022-05-25 10:05:00,0,0,2.01,2.01,0,11.73,57,6.76,137.7
2022-05-25 10:10:00,0,0,2.02,2.01,0.007,12.09,56,5.1,143.8
2022-05-25 10:15:00,0,0,2.01,2.01,0,12.17,56,4.49,141.4
2022-05-25 10:20:00,0,0,2.02,2.02,0,11.87,57,5,141.9
2022-05-25 10:25:00,0,0,2.01,2.01,0,11.97,56,3.51,129.9
2022-05-25 10:30:00,0,0,2.01,2.01,0,12.1,56,4.15,113.2
2022-05-25 10:35:00,0,0,2.01,2.01,0,12.65,55,3.46,88
2022-05-25 10:40:00,0,0,2.02,2.01,0.004,12.61,55,4.49,19.42
2022-05-25 10:45:00,0,0,2.02,2.02,0,12.83,54,4.55,307.7
2022-05-25 10:50:00,0,0,2.01,2.01,0,13.26,54,4.16,21.85
2022-05-25 10:55:00,0,0,2.01,2.01,0,13.16,54,3.48,303.6
2022-05-25 11:00:00,0,0,2.02,2.01,0.008,14.03,51,4.69,326.1
2022-05-25 11:05:00,0,0,2.01,2.01,0,13.69,51,4.75,317
2022-05-25 11:10:00,0,0,2.01,2.01,0,13.54,52,3.77,311.7
2022-05-25 11:15:00,0,0,2.04,2.03,0,13.75,54,6.14,330.7
2022-05-25 11:20:00,0,0,2.01,2.01,0.002,13.94,52,8.09,276.2
2022-05-25 11:25:00,0,0,2.01,2.01,0,14.07,51,6.75,273.3
2022-05-25 11:30:00,0,0,2,2,0,14.14,51,7.84,289.7
2022-05-25 11:35:00,0,0,2.01,2.01,0,14.02,50,7.24,254.3
2022-05-25 11:40:00,0,0,2.01,2,0.01,14.13,51,4.38,303.6
2022-05-25 11:45:00,0,0,2,2,0,14.4,50,6.15,271.5
2022-05-25 11:50:00,0,0,2.02,2.02,0,14.36,52,5.81,332.1
2022-05-25 11:55:00,0.57,0,2.01,2.01,0,14.38,50,6.83,318.5
2022-05-25 12:00:00,0.82,0,2,2,0,14.47,50,5.37,274.9
2022-05-25 12:05:00,0.52,0,2.01,2,0.003,14.59,49,7.35,254.4
2022-05-25 12:10:00,0.58,0,2,2,0,14.48,49,6.23,235.9
2022-05-25 12:15:00,1.47,0,2.01,2.01,0,14.68,49,3.72,304
2022-05-25 12:20:00,1.97,0,2.03,2.03,0,14.8,50,6.41,316.8
2022-05-25 12:25:00,2.24,0,2.02,2.01,0.006,14.78,49,5.73,329.7
2022-05-25 12:30:00,1.6,0,2.01,2.01,0,14.6,49,4.07,339.2
2022-05-25 12:35:00,2.16,0,2.01,2.01,0,14.73,49,3.61,318.9
2022-05-25 12:40:00,2.99,0,2.03,2.03,0,14.96,50,6.64,337
2022-05-25 12:45:00,2.07,0,2.02,2.02,0,15.17,50,7.35,354.8
2022-05-25 12:50:00,2.07,0,2.03,2.03,0.005,15.71,48,5.27,338
2022-05-25 12:55:00,2.14,0,2.02,2.02,0.005,15.68,48,4.72,29.77
2022-05-25 13:00:00,2.75,0,2.02,2.01,0.003,15.43,48,3.73,25.53
