Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS02, L1, 5Mn
Exported On:,2022/08/24,10:45
Date Range:,2010/8/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), THC (ppm), NMHC (ppm), CH4 (ppm), Temp @ 2m (deg. C), RH (%), Wind Speed @ 10m (km/h), Wind Dir. @ 10m (deg.)
2022-05-24 16:25:00,1.04,0.07,1.85,0,1.85,11.54,47,14.1,107.5
2022-05-24 16:30:00,0.92,0.09,1.84,0,1.84,11.33,47,11.49,118.2
2022-05-24 16:35:00,0.24,0.46,1.84,0,1.84,11.57,47,14.37,101.7
2022-05-24 16:40:00,0.43,0.1,1.84,0,1.84,11.37,47,12.8,101
2022-05-24 16:45:00,0,0,1.85,0,1.85,11.26,47,13.28,103.7
2022-05-24 16:50:00,1.8,0.26,1.84,0,1.84,11.32,47,13.32,108
2022-05-24 16:55:00,1.01,0,1.83,0,1.83,11.37,47,12.22,98.1
2022-05-24 17:00:00,0.68,0,1.83,0,1.83,11.62,47,10.52,101.5
2022-05-24 17:05:00,0,0,1.82,0,1.82,11.66,46,11.88,102.5
2022-05-24 17:10:00,0,0,1.82,0,1.82,11.66,46,11.73,84.2
2022-05-24 17:15:00,0,0.08,1.83,0,1.83,11.65,46,10.03,89.9
2022-05-24 17:20:00,0,0.27,1.83,0,1.83,11.76,46,12.8,97.3
2022-05-24 17:25:00,0,0.03,1.85,0,1.85,11.75,45,10.29,102.7
2022-05-24 17:30:00,0,0,1.85,0,1.85,11.92,45,11.22,88.3
2022-05-24 17:35:00,1.13,0.16,1.85,0,1.85,12.01,45,11.4,89
2022-05-24 17:40:00,0,0,1.87,0,1.87,12.07,44,9.47,83.9
2022-05-24 17:45:00,0,0.09,1.85,0,1.85,12.16,44,9.59,90.3
2022-05-24 17:50:00,0,0,1.86,0,1.86,12.2,44,8.92,97.2
2022-05-24 17:55:00,0.25,0,1.86,0,1.86,12.35,44,8.79,109.3
2022-05-24 18:00:00,0.16,0.23,1.86,0,1.86,12.27,43,11.28,101
2022-05-24 18:05:00,0.15,0,1.87,0,1.87,12.34,43,10.54,100.4
2022-05-24 18:10:00,0,0,1.86,0,1.86,12.3,44,13.15,103.8
2022-05-24 18:15:00,0,0.13,1.85,0,1.85,12.4,44,11.17,128.3
2022-05-24 18:20:00,0,0.32,1.85,0,1.85,12.65,43,11.88,132
2022-05-24 18:25:00,2.69,0.41,1.88,0,1.88,12.76,42,13.13,114.9
2022-05-24 18:30:00,0.55,0.03,1.89,0,1.89,12.56,43,11.71,112.1
2022-05-24 18:35:00,0,0,1.89,0,1.89,12.49,43,12.88,105.1
2022-05-24 18:40:00,0.07,0,1.89,0,1.89,12.54,43,8.7,122.8
2022-05-24 18:45:00,3.15,0.31,1.88,0,1.88,12.59,43,11.83,135.4
2022-05-24 18:50:00,2.33,0.38,1.88,0,1.88,12.33,44,10.13,106.6
2022-05-24 18:55:00,0,0,1.88,0,1.88,12.08,45,7.9,112.2
2022-05-24 19:00:00,0,0.03,1.88,0,1.88,11.9,45,8.22,106.8
2022-05-24 19:05:00,0,0,1.89,0,1.89,11.8,46,6.71,122.1
2022-05-24 19:10:00,0,0.16,1.89,0,1.89,11.75,46,6.08,107.8
2022-05-24 19:15:00,0,0.08,1.9,0,1.9,11.62,47,9.95,100.8
2022-05-24 19:20:00,0,0.21,1.9,0,1.9,11.61,47,8.21,107.4
2022-05-24 19:25:00,0,0.16,1.88,0,1.88,11.7,46,8.38,103.2
2022-05-24 19:30:00,0,0.09,1.88,0,1.88,11.72,47,8.39,99.9
2022-05-24 19:35:00,0,0,1.88,0,1.88,11.8,47,8.9,100.6
2022-05-24 19:40:00,0,0,1.88,0,1.88,11.8,47,9.67,103.5
2022-05-24 19:45:00,0,0,1.89,0,1.89,11.8,47,6.86,104.1
2022-05-24 19:50:00,0,0.04,1.91,0,1.91,11.8,47,7,95.7
2022-05-24 19:55:00,0,0,1.91,0,1.91,11.71,47,6.17,86.9
2022-05-24 20:00:00,0,0,1.9,0,1.9,11.7,47,8.65,81.8
2022-05-24 20:05:00,0,0,1.89,0,1.89,11.7,47,6.87,82.5
2022-05-24 20:10:00,0,0.01,1.89,0,1.89,11.66,47,8,73.38
2022-05-24 20:15:00,0,0,1.89,0,1.89,11.65,47,8.63,86.7
2022-05-24 20:20:00,0,0,1.89,0,1.89,11.62,47,8.39,86.9
2022-05-24 20:25:00,0,0,1.89,0,1.89,11.55,48,7.56,87.3
2022-05-24 20:30:00,0,0,1.89,0,1.89,11.52,47,7.63,78.31
2022-05-24 20:35:00,0,0,1.89,0,1.89,11.45,48,5.14,45.98
2022-05-24 20:40:00,0,0,1.9,0,1.9,11.3,50,5.43,62.1
2022-05-24 20:45:00,0,0,1.9,0,1.9,11.28,49,6.99,72.54
2022-05-24 20:50:00,0,0,1.9,0,1.9,11.17,50,8.56,89.5
2022-05-24 20:55:00,0,0.35,1.9,0,1.9,11.03,50,7.89,94
2022-05-24 21:00:00,0,0,1.89,0,1.89,10.95,50,7.12,87.4
2022-05-24 21:05:00,0,0,1.89,0,1.89,10.88,50,5.69,84.8
2022-05-24 21:10:00,0,0,1.89,0,1.89,10.76,51,6,77.74
2022-05-24 21:15:00,0,0.11,1.88,0,1.88,10.81,51,8.39,85.2
2022-05-24 21:20:00,0,0.02,1.87,0,1.87,10.63,52,8.14,84.5
2022-05-24 21:25:00,0,0,1.87,0,1.87,10.53,52,6.49,66.8
2022-05-24 21:30:00,0,0,1.88,0,1.88,10.37,53,6.24,68.81
2022-05-24 21:35:00,0,0.16,1.86,0,1.86,10.09,54,5.48,75.81
2022-05-24 21:40:00,0,0,1.88,0,1.88,10.12,54,7.09,81.1
2022-05-24 21:45:00,0,0.15,1.89,0,1.89,10.16,54,4.85,87.8
2022-05-24 21:50:00,0,0.01,1.88,0,1.88,10.16,53,6.51,76.47
2022-05-24 21:55:00,0,0.16,1.88,0,1.88,10.15,53,8.23,82.4
2022-05-24 22:00:00,0,0.21,1.87,0,1.87,10.18,52,7.78,79.86
2022-05-24 22:05:00,0,0.31,1.86,0,1.86,10.04,53,6.87,92.9
2022-05-24 22:10:00,0,0.1,1.86,0,1.86,9.85,53,8.49,92.3
2022-05-24 22:15:00,0,0.03,1.86,0,1.86,9.77,53,8.5,99.4
2022-05-24 22:20:00,0,0,1.87,0,1.87,9.74,53,7.74,109
2022-05-24 22:25:00,0.87,0.82,1.86,0,1.86,9.58,54,9.34,104.2
2022-05-24 22:30:00,5.3,3.01,1.89,0,1.89,9.69,54,9.16,117.6
2022-05-24 22:35:00,3.68,1.98,1.9,0,1.9,9.82,54,10.76,116.6
2022-05-24 22:40:00,3.1,1.04,1.91,0,1.91,9.96,54,12.42,112.4
2022-05-24 22:45:00,2.73,0.98,1.92,0,1.92,10,54,11,117.6
2022-05-24 22:50:00,1.17,0.2,1.92,0,1.92,10,54,12.43,114.1
2022-05-24 22:55:00,1.34,0.1,1.94,0,1.94,9.97,55,12.32,114.5
2022-05-24 23:00:00,1.07,0.35,1.94,0,1.94,9.95,56,11.41,139
2022-05-24 23:05:00,0.1,0.17,1.94,0,1.94,9.95,56,11.82,139
2022-05-24 23:10:00,0.13,0.1,1.93,0,1.93,9.79,57,8.08,117.8
2022-05-24 23:15:00,3.5,0.88,1.95,0,1.95,9.67,58,8.89,115.6
2022-05-24 23:20:00,5.31,0.98,1.95,0,1.95,9.63,58,10.95,119.3
2022-05-24 23:25:00,2.62,0.39,1.93,0,1.93,9.56,58,10.76,110.5
2022-05-24 23:30:00,1.15,0.39,1.98,0.037,1.94,9.44,58,11.39,104.2
2022-05-24 23:35:00,0.99,0.35,1.98,0.033,1.94,9.3,58,14.46,102.7
2022-05-24 23:40:00,0.78,0.13,2,0.072,1.93,9.22,58,10.72,108.4
2022-05-24 23:45:00,0.9,0.16,2.13,0.211,1.92,9.11,59,10.74,113.9
2022-05-24 23:50:00,0.76,0.1,2.15,0.255,1.9,8.95,59,11.91,109.1
2022-05-24 23:55:00,0.27,0.39,2.15,0.27,1.88,8.77,60,10.08,114.5
2022-05-25 00:00:00,2.46,0.39,2.2,0.283,1.92,8.72,61,11.24,120.1
2022-05-25 00:05:00,3.65,Z/S,2.22,0.266,1.96,8.71,62,10.52,121.2
2022-05-25 00:10:00,4.31,Z/S,2.21,0.261,1.95,8.68,62,11.56,115
2022-05-25 00:15:00,4.69,Z/S,2.16,0.213,1.95,8.65,62,12.13,114.9
2022-05-25 00:20:00,4.94,Z/S,2.19,0.248,1.95,8.54,63,10.2,118.9
2022-05-25 00:25:00,4.05,Z/S,2.21,0.287,1.92,8.46,63,9.45,111.7
2022-05-25 00:30:00,1.74,Z/S,2.23,0.336,1.9,8.21,64,8.59,112.2
2022-05-25 00:35:00,3.61,Z/S,2.21,0.324,1.89,8.03,65,7.51,112.8
2022-05-25 00:40:00,4.49,Z/S,2.23,0.334,1.89,7.9,65,7.44,110.4
2022-05-25 00:45:00,8.9,Z/S,2.21,0.299,1.91,7.91,66,7.8,113.2
2022-05-25 00:50:00,12.41,Z/S,2.18,0.261,1.92,7.87,66,8.21,106.9
2022-05-25 00:55:00,15.4,Z/S,2.15,0.22,1.93,7.81,66,8.74,107.9
2022-05-25 01:00:00,19.13,Z/S,2.06,0.116,1.95,7.73,67,8.13,111
2022-05-25 01:05:00,16.69,1.61,2.13,0.197,1.94,7.54,67,7.22,111.6
2022-05-25 01:10:00,19.03,1.79,2.1,0.163,1.94,7.45,68,6.67,112.1
2022-05-25 01:15:00,17.86,1.69,2.09,0.15,1.94,7.36,68,8.05,107
2022-05-25 01:20:00,16.34,1.79,1.94,0,1.94,7.18,69,7.77,107.9
2022-05-25 01:25:00,15.6,1.88,1.96,0,1.96,7.11,69,6.91,114.4
2022-05-25 01:30:00,11.99,1.63,1.94,0,1.94,7.23,69,8.28,115.5
2022-05-25 01:35:00,7.75,1.04,1.93,0,1.93,7.21,69,7.65,115.6
2022-05-25 01:40:00,6,1.35,1.91,0,1.91,7.17,69,6.2,109.3
2022-05-25 01:45:00,4.9,0.48,1.9,0,1.9,7.01,70,4.25,87.1
2022-05-25 01:50:00,4.03,0.57,1.91,0,1.91,6.73,71,3.39,44.53
2022-05-25 01:55:00,2.25,0.5,1.96,0.039,1.92,6.49,72,3.06,57.97
2022-05-25 02:00:00,1.24,0.89,1.95,0.033,1.91,6.19,74,3.66,58.54
2022-05-25 02:05:00,1,0.57,1.95,0.036,1.92,5.95,75,2.77,40.74
2022-05-25 02:10:00,0.7,0.53,1.99,0.084,1.91,5.9,76,3.31,37.52
2022-05-25 02:15:00,0.62,0.38,2.05,0.146,1.9,5.63,76,4.16,53.6
2022-05-25 02:20:00,0.36,0.47,2.09,0.186,1.9,5.14,77,3.54,50.99
2022-05-25 02:25:00,0.16,0.27,2.05,0.165,1.89,5.09,78,4.73,62.47
2022-05-25 02:30:00,0.18,0.14,1.94,0.059,1.88,4.58,77,5.34,49.7
2022-05-25 02:35:00,0,0.38,1.9,0.018,1.88,4.61,81,4.29,32.15
2022-05-25 02:40:00,0,0.17,1.93,0.054,1.88,4.8,81,4.31,33.89
2022-05-25 02:45:00,0,0,1.86,0,1.86,5.12,78,5.43,51.91
2022-05-25 02:50:00,0,0.43,1.87,0.002,1.87,3.7,79,5.75,55.4
2022-05-25 02:55:00,0,0.25,1.86,0,1.86,3.59,84,4.73,54.66
2022-05-25 03:00:00,0,0.35,1.86,0,1.86,3.81,84,3.77,48.36
2022-05-25 03:05:00,0,0.08,1.86,0,1.86,4.3,83,3.41,26.63
2022-05-25 03:10:00,0,0.4,1.86,0,1.86,4.45,82,4.1,21.81
2022-05-25 03:15:00,0,0.34,1.85,0,1.85,4.57,81,3.64,26.37
2022-05-25 03:20:00,0,0.28,1.86,0,1.86,4.41,81,4.07,36.65
2022-05-25 03:25:00,0,0.08,1.88,0,1.88,4.43,82,4.54,44.68
2022-05-25 03:30:00,0,0.18,1.88,0,1.88,4.66,81,3.97,51.98
2022-05-25 03:35:00,0,0.15,1.87,0,1.87,4.37,81,4.62,35.11
2022-05-25 03:40:00,0,0.15,1.87,0,1.87,4.27,83,4.37,23.3
2022-05-25 03:45:00,0,0.41,1.86,0,1.86,4.4,83,3.45,31.96
2022-05-25 03:50:00,0,0.43,1.87,0,1.87,4.4,84,3.04,16.74
2022-05-25 03:55:00,0,0.3,1.86,0,1.86,4.46,84,3.67,24.77
2022-05-25 04:00:00,0,0.32,1.86,0,1.86,4.67,83,3.84,31.42
2022-05-25 04:05:00,0,0.21,1.86,0,1.86,4.56,84,3.43,13.39
2022-05-25 04:10:00,0,0.45,1.86,0,1.86,4.79,83,2.55,8.2
2022-05-25 04:15:00,0,0,1.85,0,1.85,4.95,82,2.09,4.56
2022-05-25 04:20:00,0,0.3,1.85,0,1.85,5.12,82,2.53,25.67
2022-05-25 04:25:00,0,0.35,1.85,0,1.85,5.25,80,3.39,2.75
2022-05-25 04:30:00,0,0.41,1.83,0,1.83,5.4,80,3.69,8.24
2022-05-25 04:35:00,0,0.29,1.83,0,1.83,5.4,79,3.16,11.36
2022-05-25 04:40:00,0,0.39,1.83,0,1.83,5.4,78,4.15,358.2
2022-05-25 04:45:00,0,0.19,1.82,0,1.82,5.4,78,3.03,357
2022-05-25 04:50:00,0,0.22,1.82,0,1.82,5.4,79,3.78,5.41
2022-05-25 04:55:00,0,0.04,1.83,0,1.83,5.49,79,5.93,315.7
2022-05-25 05:00:00,0,0.02,Z/S,Z/S,Z/S,5.53,79,6.95,330.2
2022-05-25 05:05:00,Z/S,0,Z/S,Z/S,Z/S,5.72,78,4.81,341.9
2022-05-25 05:10:00,Z/S,0.04,Z/S,Z/S,Z/S,5.7,79,5.29,346
2022-05-25 05:15:00,Z/S,0,Z/S,Z/S,Z/S,5.6,80,6.89,337
2022-05-25 05:20:00,Z/S,0.36,Z/S,Z/S,Z/S,5.6,80,5.85,337.8
2022-05-25 05:25:00,Z/S,0.17,Z/S,Z/S,Z/S,5.6,80,5.95,335.9
2022-05-25 05:30:00,Z/S,0.45,Z/S,Z/S,Z/S,5.62,80,5.64,350.9
2022-05-25 05:35:00,Z/S,0.25,Z/S,Z/S,Z/S,5.53,80,6.44,356.4
2022-05-25 05:40:00,Z/S,0.24,Z/S,Z/S,Z/S,5.44,81,5.98,5.2
2022-05-25 05:45:00,Z/S,0.23,Z/S,Z/S,Z/S,5.44,80,4.88,25.78
2022-05-25 05:50:00,Z/S,0.13,Z/S,Z/S,Z/S,5.59,80,3.3,41.03
2022-05-25 05:55:00,Z/S,0.13,Z/S,Z/S,Z/S,5.76,80,4.88,53.4
2022-05-25 06:00:00,Z/S,0.24,Z/S,Z/S,Z/S,5.9,80,5.54,60.23
2022-05-25 06:05:00,0,0.17,1.86,0,1.86,5.95,79,4.43,42.31
2022-05-25 06:10:00,0,0.43,1.86,0,1.86,6.16,79,3,29.2
2022-05-25 06:15:00,0,0.12,1.87,0,1.87,6.37,77,4.4,37.97
2022-05-25 06:20:00,0,0.16,1.89,0,1.89,6.4,77,4.25,56.56
2022-05-25 06:25:00,0,0.17,2.08,0.174,1.9,6.43,77,6.32,84
2022-05-25 06:30:00,0,0.34,2.17,0.266,1.9,6.55,78,7.55,86.1
2022-05-25 06:35:00,0,0.32,2.04,0.148,1.9,6.65,77,7.47,78.31
2022-05-25 06:40:00,0,0.1,1.89,0.008,1.88,6.7,76,5.97,76.11
2022-05-25 06:45:00,0,0.22,1.89,0.003,1.88,6.8,77,4.23,64.24
2022-05-25 06:50:00,0,0.61,1.88,0,1.88,6.8,76,4.57,18.75
2022-05-25 06:55:00,0,0.58,1.89,0,1.89,6.87,77,5.2,13.5
2022-05-25 07:00:00,0,0.46,1.89,0,1.89,6.89,78,4.65,9.82
2022-05-25 07:05:00,0,0.16,1.91,0,1.91,6.9,78,4.88,35
2022-05-25 07:10:00,0,0.28,1.94,0,1.94,6.93,78,5.67,14.38
2022-05-25 07:15:00,0,0,1.95,0,1.95,7.05,78,5.5,355.7
2022-05-25 07:20:00,0,0,1.95,0,1.95,7.37,78,5.49,351.3
2022-05-25 07:25:00,0,0.35,1.93,0,1.93,7.5,77,4.67,39.9
2022-05-25 07:30:00,0,0.24,1.95,0,1.95,7.65,76,4.87,29.68
2022-05-25 07:35:00,0,0.47,1.99,0,1.99,8.29,72,5.01,38.13
2022-05-25 07:40:00,0.4,0.11,2,0,2,8.22,71,6.44,62.3
2022-05-25 07:45:00,3.6,0.52,1.99,0,1.99,8.52,69,5.51,85.6
2022-05-25 07:50:00,4.66,0.25,1.98,0,1.98,8.79,68,5.89,86.4
2022-05-25 07:55:00,5,0.45,1.97,0,1.97,8.9,68,6.21,117.5
2022-05-25 08:00:00,6.07,0.48,1.99,0,1.99,8.91,67,4.2,118
2022-05-25 08:05:00,6.41,0.37,1.96,0,1.96,8.62,68,5.64,56.34
2022-05-25 08:10:00,6.59,0.26,1.97,0,1.97,8.69,68,4.84,87.1
2022-05-25 08:15:00,9.6,0.41,1.97,0,1.97,8.68,68,5.22,84.8
2022-05-25 08:20:00,10.25,0.77,1.96,0,1.96,8.66,69,5.43,42.59
2022-05-25 08:25:00,11.64,0.49,1.96,0,1.96,8.87,67,5.43,67.65
2022-05-25 08:30:00,13.91,0.78,1.97,0,1.97,8.71,67,5.56,84.6
2022-05-25 08:35:00,15.8,0.67,1.96,0,1.96,8.81,67,6.59,95.7
2022-05-25 08:40:00,21.11,0.79,1.97,0,1.97,8.87,66,5.29,86.3
2022-05-25 08:45:00,26.46,0.89,1.97,0,1.97,9.04,65,6.31,97.1
2022-05-25 08:50:00,26.46,0.71,1.95,0,1.95,9.03,66,6.93,112.5
2022-05-25 08:55:00,20.97,0.59,1.93,0,1.93,9.26,66,4.63,102.5
2022-05-25 09:00:00,18.81,0.28,1.92,0,1.92,9.6,64,6.36,75.18
2022-05-25 09:05:00,34.91,1.79,1.94,0,1.94,9.87,63,5.87,133.4
2022-05-25 09:10:00,19.15,1.1,1.91,0,1.91,10.01,62,6.53,87.7
2022-05-25 09:15:00,9.89,0.56,1.89,0,1.89,9.87,62,7.21,75.76
2022-05-25 09:20:00,2.29,0,1.88,0,1.88,10.79,61,7.33,75.78
2022-05-25 09:25:00,1.07,0.07,1.86,0,1.86,11.59,57,7.52,58.17
2022-05-25 09:30:00,0.8,0,1.86,0,1.86,11.28,57,4.67,332.8
2022-05-25 09:35:00,0.51,0.16,1.86,0,1.86,11.44,56,7.23,324.9
2022-05-25 09:40:00,0.25,0,1.87,0,1.87,11.49,55,6.34,349.6
2022-05-25 09:45:00,0,0.18,1.87,0,1.87,11.15,55,8.65,49.52
2022-05-25 09:50:00,0,0.06,1.86,0,1.86,11,57,4.84,354.9
2022-05-25 09:55:00,0,0.01,1.86,0,1.86,11.25,57,4.5,65.23
2022-05-25 10:00:00,2.16,0.21,1.87,0,1.87,11.11,58,6.95,166.4
2022-05-25 10:05:00,3.03,0.46,1.87,0,1.87,11.19,58,3.66,200.3
2022-05-25 10:10:00,1.37,0.03,1.86,0,1.86,11.34,58,5.62,245.4
2022-05-25 10:15:00,1.23,0.4,1.86,0,1.86,11.96,56,3.91,298.6
2022-05-25 10:20:00,0.41,0.22,1.86,0,1.86,12.5,55,5.95,271.3
2022-05-25 10:25:00,0.25,0.4,1.85,0,1.85,12.76,54,6.15,194.2
2022-05-25 10:30:00,0,0.34,1.86,0,1.86,12.95,53,4.53,179.4
2022-05-25 10:35:00,0,0.21,1.85,0,1.85,12.62,54,3.62,52.62
2022-05-25 10:40:00,0,0,1.84,0,1.84,12.9,54,8.3,77.32
2022-05-25 10:45:00,0,0,1.84,0,1.84,12.52,54,9.36,90.9
2022-05-25 10:50:00,0,0,1.85,0,1.85,12.89,54,6.24,95.3
2022-05-25 10:55:00,0,0.31,1.84,0,1.84,12.89,54,6.11,65.72
2022-05-25 11:00:00,0,0.55,1.85,0,1.85,13.38,53,6.03,266.4
2022-05-25 11:05:00,0,0.01,1.85,0,1.85,13.71,52,5.9,293.4
2022-05-25 11:10:00,0,0.26,1.84,0,1.84,14.26,50,7.87,248.6
2022-05-25 11:15:00,0,0.11,1.84,0,1.84,13.8,52,11.23,236.1
2022-05-25 11:20:00,0,0.02,1.83,0,1.83,13.75,52,11,237
2022-05-25 11:25:00,0,0,1.84,0,1.84,13.23,54,9.76,230.5
2022-05-25 11:30:00,0,0.16,1.84,0,1.84,13.31,53,7.17,222.1
2022-05-25 11:35:00,0,0,1.83,0,1.83,13.33,53,6.63,247.2
2022-05-25 11:40:00,0,0.05,1.83,0,1.83,13.7,53,6.49,253.7
2022-05-25 11:45:00,0,0.17,1.83,0,1.83,13.73,52,5.95,212.8
2022-05-25 11:50:00,0,0.31,1.82,0,1.82,14.16,51,4.58,197
2022-05-25 11:55:00,0,0.17,1.82,0,1.82,14.27,51,4.89,244.9
2022-05-25 12:00:00,0,0.04,1.82,0,1.82,13.99,51,6.26,239.9
2022-05-25 12:05:00,0,0.27,1.83,0,1.83,13.58,52,6.69,244
2022-05-25 12:10:00,0,0.19,1.83,0,1.83,13.69,53,6.12,234.1
