Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS27, L1, 5Mn
Exported On:,2022/08/24,11:06
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), NO (ppb), NO2 (ppb), NOx (ppb), Temperature (deg. C), Relative Humidity (%), Wind Speed @ 10m (km/h), Wind Dir @ 10m (deg)
2022-05-24 16:10:00,0.51,0.15,0.19,0.33,0.52,8.49,79,9.36,95.8
2022-05-24 16:15:00,1.56,0.29,0.44,0.86,1.31,8.62,78,8.28,93.4
2022-05-24 16:20:00,0.52,0.25,0.47,1.64,2.1,8.84,77,7.93,85.6
2022-05-24 16:25:00,0.44,0.26,0.44,1.01,1.44,8.88,76,8.41,86.8
2022-05-24 16:30:00,0.1,0.18,0.58,0.52,1.1,8.93,76,9.52,70.33
2022-05-24 16:35:00,0.59,0.16,0.69,0.71,1.39,8.92,75,9.94,71.62
2022-05-24 16:40:00,3.19,0.2,1.04,1.46,2.5,8.8,74,11.36,69.62
2022-05-24 16:45:00,4.74,0.26,1.64,3.25,4.89,8.76,76,7.32,61.67
2022-05-24 16:50:00,4.62,0.2,1.78,4.04,5.82,8.91,76,8.06,59.58
2022-05-24 16:55:00,3.23,0.16,1.13,3.68,4.81,8.82,75,10.2,64.92
2022-05-24 17:00:00,0.83,0.19,0.45,2.03,2.48,8.75,76,7.92,53.55
2022-05-24 17:05:00,0.21,0.29,0.07,0.69,0.75,8.8,75,9.51,50.98
2022-05-24 17:10:00,0.53,0.3,0.24,0.6,0.84,8.83,76,7.21,46.21
2022-05-24 17:15:00,0.33,0.27,0.39,0.77,1.16,8.95,76,5.73,45.02
2022-05-24 17:20:00,0.34,0.21,0.38,0.8,1.18,8.9,76,8.25,45.88
2022-05-24 17:25:00,-0.09,0.2,0.62,0.53,1.14,8.92,75,7.78,48.83
2022-05-24 17:30:00,0.03,0.27,0.45,0.38,0.83,9.02,76,6.37,50.27
2022-05-24 17:35:00,-0.33,0.16,0.27,0.25,0.52,9.1,76,7.12,47.95
2022-05-24 17:40:00,-0.21,0.17,0.21,-0.11,0.1,9.01,76,6.77,48.13
2022-05-24 17:45:00,-0.44,0.19,-0.03,-0.01,-0.04,8.97,76,7.55,48.6
2022-05-24 17:50:00,-0.39,0.15,0.15,-0.14,0.02,9,76,7.6,54.63
2022-05-24 17:55:00,-0.39,0.18,0.24,-0.06,0.19,9.04,76,8.27,48.47
2022-05-24 18:00:00,-0.52,0.15,0.09,0.36,0.45,9,76,7.67,51.49
2022-05-24 18:05:00,-0.48,0.14,0.18,0.24,0.42,8.99,77,6.45,47.01
2022-05-24 18:10:00,-0.51,0.14,0.12,0,0.12,8.92,77,7.2,45.72
2022-05-24 18:15:00,-0.37,0.13,-0.1,0.2,0.1,8.79,77,7.95,35.15
2022-05-24 18:20:00,-0.5,0.22,-0.11,0.04,-0.07,8.7,77,7.9,52.11
2022-05-24 18:25:00,-0.57,0.15,0.04,0.19,0.24,8.71,77,8.09,52.3
2022-05-24 18:30:00,-0.49,0.16,0.28,0.14,0.42,8.7,77,7.49,54.51
2022-05-24 18:35:00,-0.58,0.15,0.68,-0.26,0.42,8.66,78,8.82,58.35
2022-05-24 18:40:00,-0.39,0.21,0.31,-0.11,0.19,8.58,78,8.26,55.7
2022-05-24 18:45:00,-0.53,0.24,0.04,0.14,0.19,8.45,78,9.06,45.1
2022-05-24 18:50:00,-0.58,0.22,0.01,0.11,0.13,8.35,78,7.5,51.18
2022-05-24 18:55:00,-0.36,0.24,-0.28,0.47,0.18,8.25,78,9.34,46.04
2022-05-24 19:00:00,-0.68,0.18,-0.24,0.46,0.22,8.13,79,7.47,45.1
2022-05-24 19:05:00,-0.48,0.24,0.11,0.14,0.24,8.04,79,7.26,39.86
2022-05-24 19:10:00,-0.56,0.17,0.23,0.12,0.35,7.95,79,7.53,37.27
2022-05-24 19:15:00,-0.47,0.18,-0.22,0.2,-0.01,7.9,79,7.04,45.02
2022-05-24 19:20:00,-0.54,0.23,-0.42,-0.17,-0.59,7.9,79,7.85,47.49
2022-05-24 19:25:00,-0.57,0.26,-0.56,0.04,-0.52,7.81,79,7.49,48.52
2022-05-24 19:30:00,-0.59,0.18,-0.36,0.11,-0.25,7.72,79,7.28,42.2
2022-05-24 19:35:00,-0.7,0.15,0,0.06,0.06,7.6,79,7.57,48.99
2022-05-24 19:40:00,-0.56,0.14,0.12,0.03,0.15,7.44,80,7.17,48.15
2022-05-24 19:45:00,-0.51,0.18,0.33,-0.1,0.23,7.35,79,6.73,49.42
2022-05-24 19:50:00,-0.62,0.15,0.2,-0.04,0.16,7.2,80,7.06,49.26
2022-05-24 19:55:00,-0.63,0.19,0.31,-0.3,0.01,7.08,80,8.17,51.69
2022-05-24 20:00:00,-0.63,0.16,0.17,-0.1,0.07,7,79,7.56,57.29
2022-05-24 20:05:00,-0.58,0.18,-0.1,0,-0.1,7.05,78,7.57,58.61
2022-05-24 20:10:00,-0.53,0.11,-0.32,0.02,-0.3,6.93,79,7.85,61.59
2022-05-24 20:15:00,-0.6,0.19,-0.24,0.27,0.03,6.78,79,6.22,56.53
2022-05-24 20:20:00,-0.65,0.23,-0.02,0.52,0.49,6.72,79,6.09,56.75
2022-05-24 20:25:00,-0.63,0.24,0.34,0.39,0.73,6.69,80,5.76,45.45
2022-05-24 20:30:00,-0.56,0.3,0.27,0.55,0.82,6.68,80,5.08,337.1
2022-05-24 20:35:00,-0.53,0.32,0.13,0.74,0.87,6.7,80,5.88,274.9
2022-05-24 20:40:00,-0.69,0.29,0.26,0.59,0.86,6.6,81,4.2,305
2022-05-24 20:45:00,-0.46,0.28,0.35,0.24,0.59,6.58,81,3.07,104.6
2022-05-24 20:50:00,-0.62,0.25,0.19,0.41,0.6,6.73,79,4.23,75.91
2022-05-24 20:55:00,-0.49,0.19,-0.04,0.58,0.53,6.7,79,4.31,4.09
2022-05-24 21:00:00,-0.58,0.13,-0.26,0.48,0.22,6.58,80,2.37,346.6
2022-05-24 21:05:00,-0.54,0.25,-0.48,0.39,-0.1,6.47,81,1.68,225.6
2022-05-24 21:10:00,-0.51,0.27,-0.27,0.23,-0.03,6.48,81,2.62,27.02
2022-05-24 21:15:00,-0.48,0.23,-0.26,0.55,0.29,6.37,81,3.95,12.74
2022-05-24 21:20:00,-0.55,0.27,-0.15,0.72,0.56,6.13,82,3.23,46.8
2022-05-24 21:25:00,-0.57,0.21,-0.03,0.61,0.59,5.66,83,4.22,33.46
2022-05-24 21:30:00,-0.56,0.2,-0.01,0.23,0.23,5.37,86,3.04,39.56
2022-05-24 21:35:00,-0.43,0.27,-0.12,0.44,0.31,5.11,86,5.34,38.26
2022-05-24 21:40:00,-0.58,0.21,0.01,0.61,0.62,5.23,86,5.05,66.65
2022-05-24 21:45:00,-0.59,0.2,0.05,0.45,0.5,5.3,86,4.34,59.48
2022-05-24 21:50:00,-0.55,0.24,0.13,0.42,0.54,5.36,85,4.07,33.67
2022-05-24 21:55:00,-0.57,0.25,0.21,0.41,0.62,5.29,86,2.89,42.97
2022-05-24 22:00:00,-0.46,0.29,0.23,0.41,0.64,5.24,87,2.68,344
2022-05-24 22:05:00,-0.35,0.23,0.14,0.39,0.53,5.46,86,2.37,302.8
2022-05-24 22:10:00,-0.41,0.22,0.1,0.49,0.59,5.54,85,4.5,73.2
2022-05-24 22:15:00,-0.36,0.21,0.13,0.43,0.56,5.4,86,2.22,80.1
2022-05-24 22:20:00,-0.51,0.24,0.14,0.43,0.56,5.4,85,2.7,347.6
2022-05-24 22:25:00,-0.38,0.29,0.17,0.35,0.52,5.25,86,2.17,288.4
2022-05-24 22:30:00,-0.55,0.27,0.18,0.1,0.28,5.12,88,2.45,61.08
2022-05-24 22:35:00,-0.59,0.25,0.09,0.34,0.43,4.95,88,2.22,152.6
2022-05-24 22:40:00,-0.43,0.21,0.05,0.22,0.27,4.7,88,3.9,107.9
2022-05-24 22:45:00,-0.73,0.31,-0.11,0.52,0.41,4.72,88,3.03,98.8
2022-05-24 22:50:00,-0.49,0.36,-0.29,0.8,0.51,4.54,88,3.01,57.97
2022-05-24 22:55:00,-0.47,0.29,-0.11,0.77,0.66,4.42,89,2.78,75.54
2022-05-24 23:00:00,-0.69,0.29,-0.01,0.46,0.45,4.4,90,2.88,79.67
2022-05-24 23:05:00,-0.54,0.23,0.24,0.37,0.61,4.64,90,4.61,98.6
2022-05-24 23:10:00,-0.53,0.26,0.35,0.26,0.61,4.75,89,3.49,132.4
2022-05-24 23:15:00,-0.52,0.3,0.4,0.14,0.54,4.64,90,0.97,144.2
2022-05-24 23:20:00,-0.56,0.3,0.45,0.44,0.9,4.53,90,2.53,57.08
2022-05-24 23:25:00,-0.51,0.24,0.36,0.63,0.99,4.63,90,3.55,73.69
2022-05-24 23:30:00,-0.46,0.38,0.39,1,1.39,4.7,91,3.53,87.1
2022-05-24 23:35:00,-0.62,0.33,0.37,1.3,1.67,4.84,90,2.95,105.6
2022-05-24 23:40:00,-0.52,0.37,0.36,1.07,1.44,4.96,91,2.16,88.9
2022-05-24 23:45:00,-0.5,0.43,0.37,1.14,1.51,4.94,90,2.78,24.38
2022-05-24 23:50:00,-0.41,0.25,0.26,1.16,1.42,4.99,91,5.79,57.17
2022-05-24 23:55:00,-0.55,0.3,0.11,1.02,1.13,5.26,90,5.7,73.08
2022-05-25 00:00:00,-0.53,0.28,0.04,0.7,0.74,5.39,89,4.77,67.4
2022-05-25 00:05:00,-0.46,0.19,Z/S,Z/S,Z/S,5.31,89,4.01,24.14
2022-05-25 00:10:00,-0.69,0.3,Z/S,Z/S,Z/S,5.27,88,3.25,8.82
2022-05-25 00:15:00,-0.57,0.37,Z/S,Z/S,Z/S,5.11,88,2.87,37.11
2022-05-25 00:20:00,-0.44,0.34,Z/S,Z/S,Z/S,4.98,89,3.41,50.21
2022-05-25 00:25:00,-0.53,0.35,Z/S,Z/S,Z/S,4.87,89,3.03,30.55
2022-05-25 00:30:00,-0.45,0.37,Z/S,Z/S,Z/S,4.72,90,2.66,35.4
2022-05-25 00:35:00,-0.61,0.55,Z/S,Z/S,Z/S,4.66,90,3.15,52.19
2022-05-25 00:40:00,-0.56,0.72,Z/S,Z/S,Z/S,4.72,90,3.87,90.4
2022-05-25 00:45:00,-0.58,0.57,Z/S,Z/S,Z/S,4.78,90,3.57,91.6
2022-05-25 00:50:00,-0.42,0.45,Z/S,Z/S,Z/S,4.6,90,3.96,65.69
2022-05-25 00:55:00,-0.53,0.47,Z/S,Z/S,Z/S,4.56,90,3.67,35.26
2022-05-25 01:00:00,-0.48,0.5,Z/S,Z/S,Z/S,4.39,90,3.1,93.7
2022-05-25 01:05:00,-0.58,0.46,0.03,1.46,1.48,4.3,91,3.27,104.3
2022-05-25 01:10:00,-0.5,0.38,-0.12,1.71,1.6,4.21,92,3.74,103.4
2022-05-25 01:15:00,-0.6,0.32,0.05,1.98,2.03,4.23,92,4.01,98.7
2022-05-25 01:20:00,-0.56,0.44,0.09,1.96,2.06,4.1,92,4.66,97.3
2022-05-25 01:25:00,-0.53,0.64,0.27,1.42,1.7,3.97,92,3.5,57.38
2022-05-25 01:30:00,-0.43,0.69,0.1,1.34,1.44,3.74,93,2.9,40.67
2022-05-25 01:35:00,-0.69,0.49,-0.13,1.41,1.28,3.51,93,3.15,59.91
2022-05-25 01:40:00,-0.6,0.38,-0.1,1.72,1.62,3.34,93,2.58,87.7
2022-05-25 01:45:00,-0.49,0.46,0.3,2.12,2.41,3.25,94,2.78,65.38
2022-05-25 01:50:00,-0.5,0.44,0.43,2.29,2.72,3.15,94,2.39,48.09
2022-05-25 01:55:00,-0.49,0.53,0.19,1.9,2.08,3.06,95,1.59,74.04
2022-05-25 02:00:00,-0.64,0.79,0.17,1.31,1.48,2.94,95,0.71,94.6
2022-05-25 02:05:00,Z/S,0.62,0.2,1.49,1.69,2.82,95,2.54,73.47
2022-05-25 02:10:00,Z/S,0.7,0.25,1.36,1.6,2.81,95,2.91,31.7
2022-05-25 02:15:00,Z/S,0.66,0.21,1.22,1.43,2.7,95,1.76,7.27
2022-05-25 02:20:00,Z/S,0.69,0.09,1.13,1.22,2.59,95,1.81,358.9
2022-05-25 02:25:00,Z/S,0.76,0.12,1.25,1.36,2.59,96,2.34,10.65
2022-05-25 02:30:00,Z/S,0.47,0.33,1.52,1.85,2.51,96,2.67,358
2022-05-25 02:35:00,Z/S,0.33,0.22,1.67,1.89,2.42,96,2.45,7.13
2022-05-25 02:40:00,Z/S,0.38,0.13,1.93,2.06,2.3,96,1.51,344.8
2022-05-25 02:45:00,Z/S,0.43,-0.04,1.93,1.89,2.24,96,2.97,10.75
2022-05-25 02:50:00,Z/S,0.43,0,2.07,2.07,2.2,96,1.49,31.27
2022-05-25 02:55:00,Z/S,0.51,0.18,2.04,2.22,2.23,96,0.09,42.49
2022-05-25 03:00:00,Z/S,0.39,0.25,1.5,1.75,2.24,96,1.33,32.76
2022-05-25 03:05:00,-0.41,Z/S,0.49,1.27,1.75,2.19,97,0.34,160.3
2022-05-25 03:10:00,-0.69,Z/S,0.6,1.11,1.71,2.13,97,0.8,48.6
2022-05-25 03:15:00,-0.74,Z/S,0.41,0.91,1.32,2.12,97,0.97,29.04
2022-05-25 03:20:00,-0.52,Z/S,0.13,0.63,0.77,2.05,97,0.44,81.9
2022-05-25 03:25:00,-0.84,Z/S,0.07,0.58,0.64,2.04,97,1.06,88.7
2022-05-25 03:30:00,-0.52,Z/S,0.22,0.42,0.64,2.13,97,1.53,87.7
2022-05-25 03:35:00,-0.72,Z/S,-0.05,0.6,0.56,1.99,97,2.49,56.69
2022-05-25 03:40:00,-0.52,Z/S,0.11,0.23,0.33,1.84,97,0.87,75.48
2022-05-25 03:45:00,-0.82,Z/S,0.16,0.44,0.59,1.86,97,1.06,210.6
2022-05-25 03:50:00,-0.43,Z/S,0.2,0.25,0.45,2.14,97,3.15,238
2022-05-25 03:55:00,-0.53,Z/S,0.31,0.12,0.43,2.05,97,3.52,282.3
2022-05-25 04:00:00,-0.65,Z/S,0.76,0.61,1.37,1.94,97,2.65,259.9
2022-05-25 04:05:00,-0.64,0.34,0.87,1.18,2.04,1.93,97,2.41,233.6
2022-05-25 04:10:00,-0.44,0.37,0.41,0.62,1.03,1.76,97,1.66,192.9
2022-05-25 04:15:00,-0.62,0.4,0.1,0.55,0.65,1.65,97,1.95,175.5
2022-05-25 04:20:00,-0.52,0.37,0.13,0.48,0.61,1.46,97,2.38,130.6
2022-05-25 04:25:00,-0.57,0.31,0.17,0.38,0.54,1.27,97,2.42,96.8
2022-05-25 04:30:00,-0.59,0.25,0.39,0.5,0.89,1.24,97,2.85,75.18
2022-05-25 04:35:00,-0.52,0.39,0.38,0.52,0.91,1.17,97,3.25,62.53
2022-05-25 04:40:00,-0.49,0.38,0.2,0.12,0.32,1.19,97,2.15,57.1
2022-05-25 04:45:00,-0.46,0.33,0.03,0.28,0.31,1.35,97,2.01,51.82
2022-05-25 04:50:00,-0.49,0.27,-0.1,0.56,0.46,1.41,97,2.95,75.51
2022-05-25 04:55:00,-0.42,0.35,0.12,0.58,0.69,1.6,97,2.1,88
2022-05-25 05:00:00,-0.42,0.39,0.12,0.36,0.48,1.75,97,3.45,84.7
2022-05-25 05:05:00,-0.52,0.38,0.27,0.05,0.32,1.88,97,3.13,65.9
2022-05-25 05:10:00,-0.56,0.24,0.16,0.32,0.49,2.14,98,3.66,84.9
2022-05-25 05:15:00,-0.56,0.31,0.57,0.63,1.2,2.45,98,2.71,101.1
2022-05-25 05:20:00,-0.59,0.33,1.23,1.23,2.45,3.05,98,2.25,73.23
2022-05-25 05:25:00,-0.56,0.35,0.65,0.64,1.29,3.27,97,3.05,60.22
2022-05-25 05:30:00,-0.52,0.3,0.53,0.9,1.44,3.63,97,3.12,49.11
2022-05-25 05:35:00,-0.59,0.28,0.47,0.82,1.29,4.19,97,3.31,47.82
2022-05-25 05:40:00,-0.49,0.22,0.35,0.63,0.97,4.42,95,4.07,76
2022-05-25 05:45:00,-0.64,0.34,0.37,0.63,0.99,4.87,91,4.22,79.41
2022-05-25 05:50:00,-0.5,0.39,0.53,0.63,1.16,5.39,87,3.84,84.3
2022-05-25 05:55:00,-0.36,0.84,0.79,0.83,1.62,5.76,85,3.73,69.14
2022-05-25 06:00:00,-0.5,1.17,0.92,0.78,1.7,5.89,83,3.84,59.14
2022-05-25 06:05:00,-0.35,0.87,0.76,0.8,1.56,5.99,83,4.5,60.7
2022-05-25 06:10:00,-0.37,0.63,0.56,0.43,0.99,6.16,82,4.06,75.76
2022-05-25 06:15:00,-0.37,0.68,0.6,0.13,0.73,6.9,80,3.49,92.7
2022-05-25 06:20:00,-0.54,0.75,0.47,0.32,0.78,7.47,78,2.83,60.49
2022-05-25 06:25:00,-0.54,0.69,0.45,0.32,0.77,7.78,74,4.7,151.8
2022-05-25 06:30:00,-0.65,0.41,0.08,0.58,0.66,7.53,72,4.83,140.9
2022-05-25 06:35:00,-0.58,0.3,0,0.28,0.28,7.67,72,5.2,149.2
2022-05-25 06:40:00,-0.46,0.21,0.11,-0.05,0.06,8,70,4.19,130.5
2022-05-25 06:45:00,-0.49,0.16,0.17,0.12,0.29,8.39,68,5.41,117.6
2022-05-25 06:50:00,-0.55,0.19,0.19,0.12,0.32,8.2,68,6.82,118.9
2022-05-25 06:55:00,-0.73,0.44,0.08,0.02,0.1,8.21,69,7.09,115.4
2022-05-25 07:00:00,-0.72,0.22,0.11,0.04,0.15,7.98,70,8,122.1
2022-05-25 07:05:00,-0.63,0.25,0.25,-0.09,0.16,7.91,70,6.43,129.8
2022-05-25 07:10:00,-0.76,0.27,0.09,0.21,0.29,8.33,69,6.37,152.6
2022-05-25 07:15:00,-0.5,0.29,0.21,0.16,0.36,8.21,70,4.34,147.3
2022-05-25 07:20:00,-0.67,0.37,0.32,0.16,0.48,8.8,69,4.23,66.87
2022-05-25 07:25:00,-0.71,0.39,0.27,0.23,0.51,8.64,71,4.03,23.89
2022-05-25 07:30:00,-0.51,0.34,0.38,0.13,0.51,8.48,70,3.09,116.1
2022-05-25 07:35:00,-0.44,0.29,0.72,0.1,0.82,8.29,72,1.88,297.5
2022-05-25 07:40:00,-0.55,0.25,0.6,0.15,0.74,8.37,70,5.23,204.2
2022-05-25 07:45:00,-0.67,0.22,0.27,0.24,0.51,8.18,71,4.76,203.6
2022-05-25 07:50:00,-0.66,0.23,0.16,0.49,0.64,8.23,71,5.09,233.6
2022-05-25 07:55:00,-0.62,0.22,0.41,0.2,0.6,8.09,71,5.53,197.6
2022-05-25 08:00:00,-0.73,0.18,0.37,0.08,0.45,8,71,5.57,214.8
2022-05-25 08:05:00,-0.56,0.17,0.42,-0.17,0.25,8,71,5.08,228.9
2022-05-25 08:10:00,-0.58,0.19,0.26,-0.03,0.24,8.07,71,3.27,197
2022-05-25 08:15:00,-0.67,0.18,0.2,0.29,0.49,8.12,71,3.52,154.2
2022-05-25 08:20:00,-0.63,0.21,0.43,0.24,0.66,8.39,70,2.31,293.7
2022-05-25 08:25:00,-0.67,0.16,0.49,0.12,0.61,8.91,69,2.49,49.97
2022-05-25 08:30:00,-0.57,0.15,0.33,0.04,0.37,9.4,67,2.91,58.88
2022-05-25 08:35:00,-0.49,0.17,0.15,0.09,0.24,9.64,65,4.64,80.2
2022-05-25 08:40:00,-0.45,0.24,0.07,0.18,0.25,9.8,65,3.38,226.4
2022-05-25 08:45:00,-0.5,0.27,0.29,0.27,0.56,10.61,63,3.17,88.5
2022-05-25 08:50:00,-0.3,0.24,0.52,0.12,0.64,10.52,63,2.87,159.8
2022-05-25 08:55:00,-0.21,0.25,0.74,0.32,1.06,10.78,63,3.7,136.6
2022-05-25 09:00:00,-0.08,0.29,0.75,0.84,1.59,11.1,62,5.18,159.6
2022-05-25 09:05:00,-0.17,0.28,0.64,0.92,1.56,11.42,61,4.1,284.8
2022-05-25 09:10:00,-0.18,0.25,0.63,0.42,1.05,12.18,59,4.93,334.7
2022-05-25 09:15:00,-0.24,0.31,0.38,0.5,0.88,12.61,57,3.34,245.3
2022-05-25 09:20:00,-0.11,0.28,0.34,0.82,1.16,12.66,58,6.66,43.08
2022-05-25 09:25:00,-0.25,0.28,0.58,0.65,1.22,12.37,58,6.03,92.6
2022-05-25 09:30:00,0.04,0.12,0.66,0.39,1.05,12.46,57,5.63,28.78
2022-05-25 09:35:00,-0.18,0.19,0.39,0.57,0.96,12.51,58,7.36,50.46
2022-05-25 09:40:00,0.11,0.25,0.45,0.8,1.25,12.91,57,6.71,72.94
2022-05-25 09:45:00,0.5,0.32,0.59,1.13,1.71,12.88,56,5.13,212.6
2022-05-25 09:50:00,0.23,0.28,0.79,0.98,1.76,13.15,57,6.49,94.5
2022-05-25 09:55:00,0.46,0.25,0.78,1.27,2.05,13.23,57,8.18,55.87
2022-05-25 10:00:00,0.47,0.29,0.82,1.42,2.24,13.24,56,7.75,75.75
2022-05-25 10:05:00,0.78,0.32,1.06,1.41,2.47,13,56,6.73,54.83
2022-05-25 10:10:00,1.2,0.35,0.99,1.63,2.62,13.56,55,8.53,53.29
2022-05-25 10:15:00,3.14,0.38,1.35,2.3,3.64,13.61,55,6.82,56.99
2022-05-25 10:20:00,6.38,0.42,2.41,3.44,5.85,14.05,53,8.02,76.58
