Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS25, L1, 5Mn
Exported On:,2022/08/24,11:06
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), Temperature (deg. C), Relative Humidity (%), Wind Speed @ 10m (km/h), Wind Dir @ 10m (deg)
2022-05-24 20:30:00,0.02,0.09,10.5,56,4.61,7.92
2022-05-24 20:35:00,0.17,0.05,10.5,56,4.43,1.08
2022-05-24 20:40:00,-0.06,0.14,10.44,57,5.46,352.1
2022-05-24 20:45:00,-0.02,0.09,10.43,57,5.81,354.9
2022-05-24 20:50:00,0.11,0.13,10.46,56,6.23,347.3
2022-05-24 20:55:00,-0.11,0.14,10.49,55,4.36,9.95
2022-05-24 21:00:00,-0.03,0.14,10.48,55,3.47,24.86
2022-05-24 21:05:00,-0.14,0.14,10.41,54,3.43,29.18
2022-05-24 21:10:00,0.16,0.03,10.4,54,2.91,22.85
2022-05-24 21:15:00,-0.08,0.1,10.36,55,2.75,21.77
2022-05-24 21:20:00,-0.22,0.07,10.18,57,3.6,334.3
2022-05-24 21:25:00,-0.27,0.12,10.03,58,3.22,340.7
2022-05-24 21:30:00,-0.08,0.15,9.96,58,2.48,353.6
2022-05-24 21:35:00,0,0.13,9.74,59,2.36,317.1
2022-05-24 21:40:00,-0.09,0.17,9.65,59,2.46,322.1
2022-05-24 21:45:00,-0.02,0.17,9.5,60,2.22,326.4
2022-05-24 21:50:00,0.13,0.15,9.56,59,2.62,342.5
2022-05-24 21:55:00,-0.11,0.17,9.6,59,2.05,3.78
2022-05-24 22:00:00,-0.04,0.19,9.57,59,1.54,38.54
2022-05-24 22:05:00,0.01,0.21,9.44,60,1.16,62.09
2022-05-24 22:10:00,0.03,0.16,9.27,61,1.56,8.35
2022-05-24 22:15:00,-0.19,0.12,9.12,61,1.45,335.5
2022-05-24 22:20:00,-0.01,0.13,9,63,2.21,321.7
2022-05-24 22:25:00,-0.2,0.14,8.96,63,2.61,257.6
2022-05-24 22:30:00,-0.15,0.15,8.9,63,1.25,279.1
2022-05-24 22:35:00,0.08,0.14,8.94,62,0.49,52.72
2022-05-24 22:40:00,-0.21,0.17,9.11,62,1.85,49.1
2022-05-24 22:45:00,-0.04,0.09,9.13,61,0.1,52.06
2022-05-24 22:50:00,-0.28,0.16,9.01,63,0,0
2022-05-24 22:55:00,-0.02,0.14,8.91,64,0.43,49.21
2022-05-24 23:00:00,-0.04,0.11,8.84,64,0.27,142.1
2022-05-24 23:05:00,-0.18,0.11,8.67,64,2.53,132.5
2022-05-24 23:10:00,-0.04,0.08,8.47,64,1.99,130.5
2022-05-24 23:15:00,-0.22,0.13,8.36,64,1.54,69.63
2022-05-24 23:20:00,-0.19,0.12,8.27,66,2.71,85.6
2022-05-24 23:25:00,-0.2,0.1,8.11,65,3.07,87.7
2022-05-24 23:30:00,-0.07,0.04,8.04,64,2.14,115.3
2022-05-24 23:35:00,-0.06,0.03,8,65,1.12,130.2
2022-05-24 23:40:00,0.05,0.1,7.94,65,0.96,67.58
2022-05-24 23:45:00,-0.17,0.09,7.89,65,2.89,88.6
2022-05-24 23:50:00,-0.13,0.06,7.72,65,0.82,336.5
2022-05-24 23:55:00,-0.15,0.03,7.7,64,2.22,104.6
2022-05-25 00:00:00,-0.32,0.02,7.8,63,2.46,17.26
2022-05-25 00:05:00,-0.27,0.03,7.67,63,2.35,350.3
2022-05-25 00:10:00,-0.43,0.07,7.67,63,2.61,331.5
2022-05-25 00:15:00,-0.11,0.05,7.66,62,2.96,342.6
2022-05-25 00:20:00,-0.07,0.02,7.4,63,2.5,351.1
2022-05-25 00:25:00,-0.04,0.04,7.39,63,1.74,13.22
2022-05-25 00:30:00,-0.04,-0.01,7.23,63,1.73,9.48
2022-05-25 00:35:00,-0.11,0.02,7.2,64,2.8,4.84
2022-05-25 00:40:00,0.02,0.03,7.03,65,3.42,326.4
2022-05-25 00:45:00,-0.21,0.07,6.5,68,3.66,283.3
2022-05-25 00:50:00,-0.2,0.07,6.32,70,3.5,292.4
2022-05-25 00:55:00,-0.18,-0.01,6.45,69,2.42,9.53
2022-05-25 01:00:00,0.01,0.08,6.71,68,1.7,24.72
2022-05-25 01:05:00,-0.2,0.06,6.81,66,1.23,21.78
2022-05-25 01:10:00,-0.1,0.09,6.75,67,1.77,342.8
2022-05-25 01:15:00,0.2,0.13,6.74,68,2.52,331.9
2022-05-25 01:20:00,-0.05,0.05,7.02,68,2.49,25.08
2022-05-25 01:25:00,-0.18,0.09,6.92,68,1.89,30.64
2022-05-25 01:30:00,-0.1,0.08,6.78,68,2.35,0.51
2022-05-25 01:35:00,-0.28,0.03,6.84,68,2.22,357.2
2022-05-25 01:40:00,-0.15,0.02,6.48,69,2.15,347.3
2022-05-25 01:45:00,0,0.1,6.17,70,0.04,337.2
2022-05-25 01:50:00,-0.16,0.04,6.18,71,2.41,357.7
2022-05-25 01:55:00,-0.24,0.08,6.27,71,1.28,13.1
2022-05-25 02:00:00,0.01,0.07,6.2,71,0.33,38.46
2022-05-25 02:05:00,Z/S,0.03,6.11,72,0,0
2022-05-25 02:10:00,Z/S,0.06,6.04,73,0.51,9.33
2022-05-25 02:15:00,Z/S,0.06,6.06,73,2.26,4.35
2022-05-25 02:20:00,Z/S,0.1,6,74,0.78,30.68
2022-05-25 02:25:00,Z/S,0.04,5.82,75,0.01,57.77
2022-05-25 02:30:00,794.9,0.03,5.76,76,0,0
2022-05-25 02:35:00,Z/S,0.09,5.62,77,1.77,356.7
2022-05-25 02:40:00,Z/S,0.03,5.6,77,2.19,354.3
2022-05-25 02:45:00,1.04,0.1,5.65,77,1.79,351.5
2022-05-25 02:50:00,Z/S,0.08,5.46,77,1.88,341.3
2022-05-25 02:55:00,Z/S,0.11,5.2,78,2.1,334.8
2022-05-25 03:00:00,0.01,0.11,5.05,79,2.42,331.9
2022-05-25 03:05:00,-0.03,Z/S,5.15,79,2.57,328.1
2022-05-25 03:10:00,-0.06,Z/S,5.12,79,2.11,349.1
2022-05-25 03:15:00,-0.11,Z/S,5.34,79,1.55,24.56
2022-05-25 03:20:00,-0.14,Z/S,5.3,79,1.77,19.1
2022-05-25 03:25:00,0.06,Z/S,5.26,79,1.55,13.86
2022-05-25 03:30:00,0,80.3,5.19,80,1.47,10.99
2022-05-25 03:35:00,-0.1,Z/S,5.03,81,1.1,359.7
2022-05-25 03:40:00,-0.01,Z/S,4.88,81,2.33,330.8
2022-05-25 03:45:00,0.09,0.32,4.8,82,0.68,324.3
2022-05-25 03:50:00,-0.01,Z/S,4.84,81,0,5.73
2022-05-25 03:55:00,-0.14,Z/S,4.89,81,0.37,306.6
2022-05-25 04:00:00,-0.04,0.1,4.86,81,2.48,326.8
2022-05-25 04:05:00,-0.05,0.07,4.97,81,3.53,318.6
2022-05-25 04:10:00,-0.05,0.06,5.05,81,3.15,311.7
2022-05-25 04:15:00,-0.13,0.05,5.07,80,2.64,316.3
2022-05-25 04:20:00,0.03,0.07,5.1,80,2.63,315.7
2022-05-25 04:25:00,-0.15,0.07,5.12,80,2.19,316.4
2022-05-25 04:30:00,-0.24,0.05,5.2,80,2.1,359.9
2022-05-25 04:35:00,0.09,0.05,5.26,80,2.49,325.8
2022-05-25 04:40:00,-0.02,0.06,5.2,81,2.4,331.6
2022-05-25 04:45:00,-0.27,0.1,5.2,82,2.05,332.9
2022-05-25 04:50:00,-0.12,0.03,5.2,81,2.14,307.3
2022-05-25 04:55:00,-0.02,0.05,5.28,81,1.2,297.4
2022-05-25 05:00:00,-0.19,0.09,5.31,81,2.14,303.7
2022-05-25 05:05:00,0.09,0.09,5.4,80,1.71,314.3
2022-05-25 05:10:00,-0.21,0.05,5.49,80,1.94,334
2022-05-25 05:15:00,-0.29,0.07,5.55,80,1.41,325.9
2022-05-25 05:20:00,-0.17,0.06,5.72,81,0,0
2022-05-25 05:25:00,0.1,0.09,5.9,82,0,0
2022-05-25 05:30:00,-0.29,0.06,6.13,79,0.25,343.7
2022-05-25 05:35:00,-0.26,0.06,6.4,79,0.83,67.1
2022-05-25 05:40:00,-0.16,0.09,6.61,79,1.69,56.99
2022-05-25 05:45:00,-0.08,0.06,6.81,77,1.8,36.65
2022-05-25 05:50:00,-0.05,0.11,6.96,76,1.64,47.62
2022-05-25 05:55:00,-0.23,0.09,7,75,2.16,75.58
2022-05-25 06:00:00,-0.12,0.04,7.1,73,2.31,76.54
2022-05-25 06:05:00,-0.1,0.1,7.17,74,2.37,73.28
2022-05-25 06:10:00,-0.14,0.08,7.27,72,2.59,85.6
2022-05-25 06:15:00,-0.28,0.07,7.3,71,2.62,79.01
2022-05-25 06:20:00,-0.05,0.06,7.38,71,2.39,66.86
2022-05-25 06:25:00,-0.08,0.08,7.44,72,1.93,71.05
2022-05-25 06:30:00,-0.3,0.06,7.55,71,2.17,67.52
2022-05-25 06:35:00,-0.22,0.07,7.6,70,2.93,87.9
2022-05-25 06:40:00,-0.2,0.08,7.6,69,2.68,85.9
2022-05-25 06:45:00,-0.07,0,7.68,69,2.4,76.97
2022-05-25 06:50:00,-0.15,0.06,7.7,68,2.51,79.44
2022-05-25 06:55:00,0.04,0.07,7.8,69,3.4,94.2
2022-05-25 07:00:00,-0.17,0.06,7.8,68,3.21,83.4
2022-05-25 07:05:00,-0.32,0.1,7.8,67,3.01,92.8
2022-05-25 07:10:00,-0.05,0.05,7.84,69,2.69,73.6
2022-05-25 07:15:00,-0.22,0.05,8,68,2.85,68.39
2022-05-25 07:20:00,-0.2,0.03,8.07,68,3.28,67.63
2022-05-25 07:25:00,-0.17,0.04,8.13,68,3.16,92.3
2022-05-25 07:30:00,-0.19,0.02,8.23,68,2.49,80.6
2022-05-25 07:35:00,-0.2,0.05,8.27,67,3.37,30.51
2022-05-25 07:40:00,-0.16,0.04,8.45,67,3.52,56.29
2022-05-25 07:45:00,-0.05,0.01,8.37,66,3.98,21.13
2022-05-25 07:50:00,-0.13,0.06,8.59,67,3.92,71.5
2022-05-25 07:55:00,-0.06,0.02,8.92,66,2.66,97.9
2022-05-25 08:00:00,-0.11,0.07,9.3,64,3.66,73.16
2022-05-25 08:05:00,-0.17,0.08,9.41,63,3.99,46.87
2022-05-25 08:10:00,-0.08,0.13,9.69,62,3.6,31.26
2022-05-25 08:15:00,-0.23,0.1,9.67,62,4.67,72.83
2022-05-25 08:20:00,0.33,0.08,9.7,62,4.13,98.8
2022-05-25 08:25:00,0.32,0.07,9.89,62,2.33,14.75
2022-05-25 08:30:00,1.27,0.07,10.19,62,4.04,143.3
2022-05-25 08:35:00,2.4,0.12,10,61,2.93,58.73
2022-05-25 08:40:00,2.63,0.13,9.64,62,2.1,67.27
2022-05-25 08:45:00,5.9,0.12,10,61,2.53,95.3
2022-05-25 08:50:00,4.2,0.11,10.4,61,3.42,60.87
2022-05-25 08:55:00,2.64,0.03,10.36,60,3.97,112.3
2022-05-25 09:00:00,5.54,0.16,10.4,59,3.53,103.1
2022-05-25 09:05:00,2.2,0,10.44,59,5.14,19.18
2022-05-25 09:10:00,1.48,0.05,9.82,60,4.16,318.6
2022-05-25 09:15:00,1.11,0.04,10.09,59,2.4,218.8
2022-05-25 09:20:00,0.78,0,10.42,59,3.06,185.1
2022-05-25 09:25:00,0.42,0,10.65,58,4.75,114.5
2022-05-25 09:30:00,0.14,0,10.72,59,4.3,66.51
2022-05-25 09:35:00,0.15,0.01,10.93,58,3.2,161.4
2022-05-25 09:40:00,0.06,0.05,11.07,59,3.4,24.09
2022-05-25 09:45:00,-0.1,0.03,11.45,58,3.46,57.18
2022-05-25 09:50:00,0.04,0.04,11.31,59,4.9,72.33
2022-05-25 09:55:00,-0.03,0.01,11.42,59,4.7,39.82
2022-05-25 10:00:00,-0.15,0.1,11.16,60,4.66,21.67
2022-05-25 10:05:00,-0.04,0.08,11.49,59,4.07,43.56
2022-05-25 10:10:00,0.03,0.05,11.51,59,3.59,30.29
2022-05-25 10:15:00,-0.01,0.09,11.78,58,4.02,29.77
2022-05-25 10:20:00,0.01,0.02,11.86,57,5.05,56.14
2022-05-25 10:25:00,-0.03,0.02,12.04,57,5.3,47.98
2022-05-25 10:30:00,-0.06,0.01,12.61,54,5.56,56.54
2022-05-25 10:35:00,-0.18,0.05,13.04,53,5.78,68.94
2022-05-25 10:40:00,-0.07,0.07,12.74,53,5.44,53.43
2022-05-25 10:45:00,-0.21,0.05,13.06,53,6.49,17.17
2022-05-25 10:50:00,-0.07,0.02,13.25,53,5.31,63.85
2022-05-25 10:55:00,0.02,0.06,13.51,52,6.24,42.69
2022-05-25 11:00:00,-0.35,0.06,13.67,51,5.31,69.7
2022-05-25 11:05:00,-0.11,0.01,13.63,51,5.98,100.2
2022-05-25 11:10:00,0.05,0.05,12.84,53,6.7,155.4
2022-05-25 11:15:00,-0.07,0.03,13.54,52,4.44,53.8
2022-05-25 11:20:00,-0.12,-0.03,14.29,50,4.34,86.4
2022-05-25 11:25:00,-0.09,0.03,14.35,50,4.93,78.86
2022-05-25 11:30:00,-0.22,-0.01,13.94,49,4.7,59.06
2022-05-25 11:35:00,-0.11,0.06,13.85,50,4.85,85.2
2022-05-25 11:40:00,-0.1,0.03,15.03,49,3.65,87.9
2022-05-25 11:45:00,-0.11,0,14.63,48,6.74,149.7
2022-05-25 11:50:00,-0.3,0.03,13.47,51,4.62,178.5
2022-05-25 11:55:00,-0.16,0.03,14.04,51,4.54,61.59
2022-05-25 12:00:00,0.05,0.03,14.18,49,3.98,84.7
2022-05-25 12:05:00,-0.17,0.03,14.11,49,4.25,49.05
2022-05-25 12:10:00,0.01,0.04,14.2,49,5.37,28.46
2022-05-25 12:15:00,-0.27,0.02,14.01,49,5.64,343.3
2022-05-25 12:20:00,-0.12,0.06,14.06,50,4.04,42.96
2022-05-25 12:25:00,-0.22,0.03,14.09,49,3.49,73.57
2022-05-25 12:30:00,-0.08,0.04,14.14,49,2.56,252.2
2022-05-25 12:35:00,-0.08,0.04,14.52,48,2.46,291.5
2022-05-25 12:40:00,-0.11,0,15.02,47,3.71,151.6
2022-05-25 12:45:00,-0.06,0.04,15.43,47,4.88,118.3
2022-05-25 12:50:00,-0.1,0.04,15.9,46,4.88,81.4
2022-05-25 12:55:00,0.06,0.03,15.81,45,3.37,47.89
2022-05-25 13:00:00,-0.1,0.03,15.51,46,5.98,52.13
2022-05-25 13:05:00,-0.13,0.02,15.61,47,4.88,57.91
2022-05-25 13:10:00,-0.22,-0.02,15.7,45,5.79,114.6
2022-05-25 13:15:00,-0.06,0.03,15.62,45,5.31,172.6
2022-05-25 13:20:00,-0.23,0.05,16.03,44,6.34,56.97
2022-05-25 13:25:00,-0.28,0.06,15.85,45,5.25,24.33
2022-05-25 13:30:00,-0.1,-0.01,16.17,44,4.98,58.12
2022-05-25 13:35:00,0.27,0.04,16.64,43,6.77,165.2
2022-05-25 13:40:00,0.77,0.04,16.98,43,5.05,100
2022-05-25 13:45:00,0.64,0.04,17.37,42,7.13,132.3
2022-05-25 13:50:00,0.7,-0.01,17.02,42,6.42,133.5
2022-05-25 13:55:00,0.43,0.01,17.06,42,5.69,147.5
2022-05-25 14:00:00,0.57,0.02,16.57,42,4.57,331.4
2022-05-25 14:05:00,0.25,0.07,16.57,42,5.7,349.2
2022-05-25 14:10:00,0.2,0.04,16.98,42,5.99,13.35
2022-05-25 14:15:00,0.18,0.04,17.83,41,6.75,83.2
2022-05-25 14:20:00,0.12,0.05,18.17,39,5.52,124.2
2022-05-25 14:25:00,-0.08,0.05,17.97,39,4.34,10.78
2022-05-25 14:30:00,0.09,-0.02,17.35,40,4.51,338.9
2022-05-25 14:35:00,0.11,0.02,17.53,40,6.24,45.29
2022-05-25 14:40:00,0.18,0,17.41,40,5.93,99.9
2022-05-25 14:45:00,0.1,0.03,17.23,39,4.73,284
2022-05-25 14:50:00,-0.05,0.03,17.7,39,4.6,27.31
2022-05-25 14:55:00,-0.09,0.03,17.91,38,6.16,5.72
2022-05-25 15:00:00,-0.22,0.05,18.26,39,5.33,75.11
2022-05-25 15:05:00,-0.09,0.05,18.84,39,6.21,97.8
2022-05-25 15:10:00,0.14,-0.01,18.65,39,6.49,100.3
2022-05-25 15:15:00,-0.21,-0.01,18.59,39,6.47,128.7
2022-05-25 15:20:00,-0.13,0.03,18.98,38,5.48,72.56
2022-05-25 15:25:00,-0.19,0.06,18.62,38,5.29,92.4
2022-05-25 15:30:00,0.01,0.03,18.75,37,4.66,69.37
2022-05-25 15:35:00,-0.03,0.06,18.65,36,3.9,110.2
2022-05-25 15:40:00,0.01,0.03,18.75,37,4.73,98.9
2022-05-25 15:45:00,-0.12,0.03,18.25,38,3.85,90
2022-05-25 15:50:00,-0.12,0.06,17.81,39,2.86,66.95
2022-05-25 15:55:00,-0.2,0.06,17.64,37,3.25,1.83
2022-05-25 16:00:00,-0.15,0.07,17.59,37,4.68,324.6
2022-05-25 16:05:00,0.08,0.08,17.1,41,15.09,308.2
2022-05-25 16:10:00,0.26,0.02,16.32,44,12.97,300.2
2022-05-25 16:15:00,-0.02,0.1,16.19,45,13.69,299.4
2022-05-25 16:20:00,0.13,0.06,16.51,45,15.39,307.4
2022-05-25 16:25:00,0.13,0.1,16.37,44,18.81,322.6
2022-05-25 16:30:00,0.15,0.08,16.3,44,18.44,311.7
2022-05-25 16:35:00,0.04,0.13,16.31,45,17,309.8
2022-05-25 16:40:00,-0.16,0.11,16.07,45,19.49,312.5
2022-05-25 16:45:00,0.17,0.07,16.13,45,15.64,310.9
2022-05-25 16:50:00,0.24,0.1,16.65,44,17.42,320.6
2022-05-25 16:55:00,-0.03,0.05,16.21,44,22.02,311.8
2022-05-25 17:00:00,0.32,0.07,15.87,45,19.69,314.5
2022-05-25 17:05:00,0.28,0.08,15.62,46,19.66,313.6
2022-05-25 17:10:00,0.15,0.08,15.36,47,19.07,318
2022-05-25 17:15:00,0.49,0.08,15.28,47,16.1,337.3
2022-05-25 17:20:00,0.15,0.06,15.19,48,16.63,330.3
2022-05-25 17:25:00,0.28,0.06,15.11,49,15.41,339
2022-05-25 17:30:00,0.58,0.06,15.15,49,16.1,339.9
2022-05-25 17:35:00,0.52,0.09,15.11,50,12.96,340.4
2022-05-25 17:40:00,-0.14,0.07,15.26,50,15.65,345
2022-05-25 17:45:00,-0.19,0.1,15.29,50,16.19,343.8
2022-05-25 17:50:00,-0.11,0.06,15.34,51,12.6,356.1
2022-05-25 17:55:00,-0.02,0.07,15.1,51,11.82,350.8
2022-05-25 18:00:00,-0.34,0.04,14.9,52,13.1,347.2
2022-05-25 18:05:00,-0.3,0.05,14.9,53,10.76,358.8
2022-05-25 18:10:00,-0.02,0.05,14.87,54,9.81,350
2022-05-25 18:15:00,-0.24,0.08,14.82,54,12.53,357.7
2022-05-25 18:20:00,0.07,0.05,14.93,54,13.24,352.7
2022-05-25 18:25:00,-0.16,0.06,15.25,53,10.18,358.2
2022-05-25 18:30:00,-0.24,0.08,15.85,52,7.72,29.85
2022-05-25 18:35:00,-0.04,0.08,15.85,51,13.26,9.28
2022-05-25 18:40:00,-0.01,0.11,15.98,51,9.31,15.63
2022-05-25 18:45:00,-0.07,0.09,15.9,52,10.11,17.25
