Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS20, L1, 5Mn
Exported On:,2022/08/24,11:04
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), THC (ppm), NO (ppb), NO2 (ppb), NOx (ppb), Wind Speed @ 10m (km/h), Wind Direction @ 10m (deg.), Relative Humitidy (%), Temp (deg. C), Precip (mm)
2022-05-24 15:15:00,0.13,-0.15,2.19,-0.11,0.42,0.31,10.77,109.3,55,9.39,0
2022-05-24 15:20:00,0.08,-0.05,2.2,-0.11,0.46,0.34,12.93,103.1,55,9.62,0
2022-05-24 15:25:00,0.11,-0.04,2.19,-0.08,0.39,0.31,13.57,113,55,9.69,0
2022-05-24 15:30:00,0.22,-0.05,2.18,-0.12,0.42,0.31,10.24,102.4,55,9.6,0
2022-05-24 15:35:00,0.06,-0.03,2.2,-0.12,0.43,0.31,10.57,90.8,54,9.99,0
2022-05-24 15:40:00,0,-0.01,2.18,-0.14,0.45,0.31,11.95,100.8,54,10.15,0
2022-05-24 15:45:00,0.26,-0.08,2.18,-0.1,0.46,0.36,12.18,101,53,10.24,0
2022-05-24 15:50:00,0.19,-0.13,2.17,-0.11,0.44,0.33,9.89,100.5,53,10.53,0
2022-05-24 15:55:00,0.23,-0.17,2.15,-0.11,0.46,0.35,10.97,95.8,53,10.83,0
2022-05-24 16:00:00,0.38,-0.04,2.19,-0.08,0.45,0.36,10.55,100.4,51,11.05,0
2022-05-24 16:05:00,0.24,-0.03,2.23,-0.1,0.46,0.35,10.5,79.23,51,11.45,0
2022-05-24 16:10:00,0.15,-0.13,2.2,-0.1,0.44,0.34,9.26,86.4,51,11.09,0
2022-05-24 16:15:00,0.04,-0.11,2.19,-0.11,0.45,0.35,9.79,125.7,51,10.99,0
2022-05-24 16:20:00,0.23,-0.04,2.18,-0.15,0.49,0.34,8.07,107.9,51,10.92,0
2022-05-24 16:25:00,0.38,-0.13,2.18,-0.15,0.49,0.35,8.1,104.8,50,10.93,0
2022-05-24 16:30:00,0.09,-0.1,2.19,-0.1,0.4,0.31,8.88,150.7,50,10.99,0
2022-05-24 16:35:00,0.09,-0.07,2.17,-0.14,0.55,0.41,8.34,119.8,49,11.08,0
2022-05-24 16:40:00,0.13,-0.07,2.17,-0.13,0.56,0.43,10.38,105.2,49,11.09,0
2022-05-24 16:45:00,0.12,-0.07,2.19,-0.12,0.58,0.46,11.05,112.1,48,10.93,0
2022-05-24 16:50:00,-0.08,-0.02,2.19,-0.12,0.54,0.43,9.36,105.7,49,11.01,0
2022-05-24 16:55:00,0.03,-0.08,2.19,-0.14,0.47,0.34,8.15,109.6,48,11.17,0
2022-05-24 17:00:00,0.07,0,2.18,-0.1,0.46,0.36,7.2,111.6,48,11.24,0
2022-05-24 17:05:00,0.13,-0.01,2.19,-0.15,0.44,0.29,9.73,107.2,47,11.19,0
2022-05-24 17:10:00,0.29,-0.03,2.17,-0.13,0.4,0.27,7.62,104.8,48,11.2,0
2022-05-24 17:15:00,-0.04,-0.04,2.16,-0.13,0.39,0.26,5.89,106.5,48,11.38,0
2022-05-24 17:20:00,0.19,-0.01,2.17,-0.14,0.42,0.29,9.29,105.4,47,11.37,0
2022-05-24 17:25:00,-0.02,-0.06,2.19,-0.1,0.35,0.25,10.67,104.9,47,11.2,0
2022-05-24 17:30:00,0.21,-0.06,2.19,-0.16,0.45,0.29,10.04,110,46,11.12,0
2022-05-24 17:35:00,0.25,-0.13,2.19,-0.13,0.39,0.26,10.08,105.4,47,11.1,0
2022-05-24 17:40:00,0.11,-0.06,2.19,-0.15,0.42,0.27,7.36,100.4,47,11.18,0
2022-05-24 17:45:00,0.02,-0.03,2.2,-0.09,0.35,0.26,8.5,99.6,47,11.33,0
2022-05-24 17:50:00,0.2,-0.05,2.17,-0.13,0.4,0.28,9.92,92,47,11.88,0
2022-05-24 17:55:00,0.01,-0.01,2.16,-0.13,0.42,0.29,9.22,88.9,48,12.24,0
2022-05-24 18:00:00,0.1,0.06,2.17,-0.14,0.45,0.3,10.49,88.4,47,12,0
2022-05-24 18:05:00,0.13,0.01,2.17,-0.11,0.37,0.26,9.41,99,47,11.9,0
2022-05-24 18:10:00,0.05,-0.08,2.15,-0.11,0.35,0.24,9.94,108.2,46,11.79,0
2022-05-24 18:15:00,0.3,-0.06,2.17,-0.13,0.36,0.24,10.11,109.7,46,12.03,0
2022-05-24 18:20:00,0.06,-0.08,2.16,-0.11,0.3,0.19,12.05,102.9,46,11.72,0
2022-05-24 18:25:00,0.27,-0.14,2.16,-0.12,0.36,0.24,11.96,92.2,46,11.74,0
2022-05-24 18:30:00,0.06,-0.05,2.16,-0.17,0.38,0.21,7.39,95.1,46,11.76,0
2022-05-24 18:35:00,-0.06,-0.04,2.16,-0.13,0.35,0.22,9.57,93.6,46,12.34,0
2022-05-24 18:40:00,0.02,-0.11,2.16,-0.16,0.38,0.23,7.77,99.6,46,12.1,0
2022-05-24 18:45:00,0.23,-0.09,2.16,-0.12,0.35,0.23,9.16,96.1,47,11.94,0
2022-05-24 18:50:00,0.01,-0.07,2.15,-0.18,0.39,0.21,10.59,103.1,47,11.78,0
2022-05-24 18:55:00,0.1,-0.1,2.15,-0.15,0.38,0.23,8.93,104.6,48,11.7,0
2022-05-24 19:00:00,0.01,-0.05,2.15,-0.16,0.39,0.23,7.8,99.6,48,11.7,0
2022-05-24 19:05:00,0.18,-0.03,2.15,-0.17,0.36,0.19,7.01,86.5,49,11.72,0
2022-05-24 19:10:00,0.06,-0.01,2.16,-0.12,0.3,0.17,8.06,101.9,49,11.82,0
2022-05-24 19:15:00,0.23,0.05,2.15,-0.15,0.36,0.21,8.59,91.3,49,11.81,0
2022-05-24 19:20:00,0.13,-0.03,2.15,-0.17,0.37,0.2,8.43,95.5,49,11.62,0
2022-05-24 19:25:00,0.08,-0.13,2.13,-0.15,0.37,0.22,8.87,106.8,50,11.54,0
2022-05-24 19:30:00,0,-0.1,2.13,-0.16,0.35,0.19,6.71,90.3,50,11.5,0
2022-05-24 19:35:00,0.15,-0.03,2.15,-0.15,0.34,0.19,6.8,98.3,51,11.38,0
2022-05-24 19:40:00,0.03,-0.05,2.18,-0.15,0.37,0.22,7.66,98.2,51,11.26,0
2022-05-24 19:45:00,0.1,-0.05,2.16,-0.14,0.38,0.23,5.67,90.2,51,11.13,0
2022-05-24 19:50:00,0.12,0.02,2.17,-0.12,0.39,0.27,6.52,86.8,51,11.03,0
2022-05-24 19:55:00,-0.03,0.05,2.16,-0.16,0.48,0.32,7.23,90.4,52,10.94,0
2022-05-24 20:00:00,0.1,0.05,2.15,-0.16,0.55,0.4,4.33,78,52,10.9,0
2022-05-24 20:05:00,0.09,0,2.16,-0.14,0.57,0.43,4.89,68.97,53,10.9,0
2022-05-24 20:10:00,0.12,0.02,2.14,-0.14,0.61,0.46,5.12,67.64,53,10.89,0
2022-05-24 20:15:00,0.17,-0.01,2.16,-0.14,0.6,0.46,5.3,62.28,53,10.79,0
2022-05-24 20:20:00,0.15,0,2.17,-0.18,0.64,0.46,5.24,69.98,54,10.67,0
2022-05-24 20:25:00,0.17,0.08,2.16,-0.15,0.56,0.41,4.5,78.29,54,10.49,0
2022-05-24 20:30:00,0.18,0.03,2.16,-0.16,0.62,0.46,3.61,81.5,55,10.24,0
2022-05-24 20:35:00,0.25,0.06,2.15,-0.15,0.59,0.44,3.39,69.06,56,9.97,0
2022-05-24 20:40:00,0.24,0.01,2.14,-0.17,0.61,0.44,3.96,69.47,57,9.82,0
2022-05-24 20:45:00,0.21,0.09,2.15,-0.17,0.61,0.44,4.27,65.46,57,9.8,0
2022-05-24 20:50:00,0.26,0.08,2.13,-0.17,0.63,0.46,4.29,67.31,58,9.7,0
2022-05-24 20:55:00,0.1,0.08,2.15,-0.16,0.58,0.42,3.89,63.55,58,9.62,0
2022-05-24 21:00:00,0.06,0.03,2.16,-0.17,0.58,0.41,4.38,64,58,9.6,0
2022-05-24 21:05:00,0.2,0.09,2.16,-0.15,0.6,0.45,4.38,47.47,59,9.5,0
2022-05-24 21:10:00,-0.03,0.01,2.16,-0.17,0.56,0.4,3.75,60.11,59,9.33,0
2022-05-24 21:15:00,0.07,-0.04,2.16,-0.14,0.56,0.42,3.58,59.12,60,9.16,0
2022-05-24 21:20:00,0.21,0.04,2.19,-0.14,0.52,0.38,3.74,71.04,61,8.89,0
2022-05-24 21:25:00,0.06,0.04,2.15,-0.15,0.55,0.4,3.49,85.7,62,8.62,0
2022-05-24 21:30:00,-0.1,0.05,2.15,-0.17,0.56,0.39,3.4,75.59,61,8.44,0
2022-05-24 21:35:00,0.05,0.05,2.17,-0.17,0.56,0.4,3.99,90,62,8.19,0
2022-05-24 21:40:00,-0.02,0.07,2.15,-0.14,0.52,0.38,3.08,100.8,63,7.8,0
2022-05-24 21:45:00,-0.12,0.02,2.15,-0.14,0.52,0.38,3.58,99.6,64,7.57,0
2022-05-24 21:50:00,0.02,-0.02,2.16,-0.17,0.54,0.37,3.81,102.4,64,7.45,0
2022-05-24 21:55:00,0.13,-0.1,2.17,-0.18,0.58,0.39,4.47,102.1,64,7.32,0
2022-05-24 22:00:00,0.18,-0.13,2.17,-0.13,0.51,0.38,4,108.8,63,7.26,0
2022-05-24 22:05:00,-0.05,-0.03,2.16,-0.18,0.51,0.34,4.38,114.9,64,7,0
2022-05-24 22:10:00,0.07,-0.1,2.18,-0.16,0.5,0.34,2.73,123.8,65,6.73,0
2022-05-24 22:15:00,0.3,-0.01,2.17,-0.17,0.51,0.34,3.99,121,66,6.5,0
2022-05-24 22:20:00,0.16,-0.16,2.16,-0.16,0.47,0.31,5.9,112.7,66,6.43,0
2022-05-24 22:25:00,-0.11,-0.06,2.15,-0.13,0.41,0.28,5.38,118.8,65,6.51,0
2022-05-24 22:30:00,0.15,-0.15,2.17,-0.16,0.43,0.27,6.73,116.2,65,6.46,0
2022-05-24 22:35:00,0.07,-0.16,2.17,-0.16,0.43,0.27,5.76,125.7,64,6.54,0
2022-05-24 22:40:00,0.09,-0.11,2.14,-0.15,0.47,0.31,5.46,124.4,64,6.54,0
2022-05-24 22:45:00,0.04,-0.1,2.14,-0.17,0.48,0.31,7.29,116,65,6.5,0
2022-05-24 22:50:00,-0.05,-0.06,2.15,-0.16,0.44,0.29,8.76,117.3,65,6.53,0
2022-05-24 22:55:00,0.01,-0.04,2.16,-0.18,0.5,0.32,8.99,114.4,65,6.64,0
2022-05-24 23:00:00,0.02,0,2.16,-0.15,0.46,0.32,8.18,114.3,65,6.59,0
2022-05-24 23:05:00,0.01,0,2.18,-0.16,0.48,0.32,9.42,116.2,66,6.47,0
2022-05-24 23:10:00,0.18,-0.03,2.17,-0.16,0.48,0.31,8.71,119.5,66,6.46,0
2022-05-24 23:15:00,0,0.04,2.16,-0.16,0.49,0.33,8.16,119.7,67,6.46,0
2022-05-24 23:20:00,0.03,0.08,2.18,-0.17,0.49,0.32,9.1,115.2,67,6.44,0
2022-05-24 23:25:00,0.09,-0.02,2.18,-0.17,0.45,0.28,8.61,112.4,67,6.38,0
2022-05-24 23:30:00,0.08,0.02,2.17,-0.17,0.47,0.3,9.72,112.9,68,6.37,0
2022-05-24 23:35:00,0.07,0.09,2.17,-0.17,0.45,0.28,8.87,115.4,68,6.31,0
2022-05-24 23:40:00,-0.04,0.09,2.19,-0.14,0.37,0.23,8.82,114,69,6.25,0
2022-05-24 23:45:00,-0.01,0.02,2.19,-0.17,0.43,0.26,7.13,123.2,69,6.11,0
2022-05-24 23:50:00,-0.09,0.08,2.18,-0.13,0.38,0.24,7.24,122,70,5.99,0
2022-05-24 23:55:00,-0.01,0.15,2.18,-0.19,0.42,0.24,6.08,125,71,5.82,0
2022-05-25 00:00:00,0.1,0.04,2.16,-0.16,0.45,0.29,6.76,124.1,71,5.71,0
2022-05-25 00:05:00,-0.04,0.1,2.18,Z/S,Z/S,Z/S,7.57,121.9,72,5.62,0
2022-05-25 00:10:00,-0.06,0.02,2.19,Z/S,Z/S,Z/S,7.81,123.9,72,5.52,0
2022-05-25 00:15:00,-0.02,0.1,2.2,Z/S,Z/S,Z/S,7.02,122.1,73,5.38,0
2022-05-25 00:20:00,0.03,0.12,2.19,Z/S,Z/S,Z/S,7.91,113.7,74,5.22,0
2022-05-25 00:25:00,-0.22,0.15,2.18,Z/S,Z/S,Z/S,7.85,115.8,74,5.14,0
2022-05-25 00:30:00,0.24,0.01,2.18,Z/S,Z/S,Z/S,8.14,115.3,75,5.04,0
2022-05-25 00:35:00,0.12,0.04,2.17,Z/S,Z/S,Z/S,7.36,122.4,75,5.02,0
2022-05-25 00:40:00,0.06,0.05,2.18,Z/S,Z/S,Z/S,8.11,125.1,75,5.03,0
2022-05-25 00:45:00,0.01,0.03,2.18,Z/S,Z/S,Z/S,7.42,120.8,75,4.95,0
2022-05-25 00:50:00,0,-0.02,2.17,Z/S,Z/S,Z/S,7.88,113.3,76,4.9,0
2022-05-25 00:55:00,0.06,0.03,2.15,Z/S,Z/S,Z/S,7.95,114.1,76,4.9,0
2022-05-25 01:00:00,-0.03,0.07,2.16,Z/S,Z/S,Z/S,7.24,113.8,76,4.91,0
2022-05-25 01:05:00,-0.06,0.05,2.18,-0.17,0.55,0.38,6.19,122.2,76,4.87,0
2022-05-25 01:10:00,-0.06,0.04,2.18,-0.16,0.5,0.34,4.86,133.8,77,4.75,0
2022-05-25 01:15:00,0.18,0.08,2.19,-0.16,0.47,0.31,6.1,125.6,77,4.7,0
2022-05-25 01:20:00,0.26,0.02,2.18,-0.17,0.43,0.25,6.22,126.9,77,4.59,0
2022-05-25 01:25:00,0.21,0.04,2.19,-0.16,0.42,0.26,6.24,127.7,78,4.5,0
2022-05-25 01:30:00,0.02,0.03,2.2,-0.15,0.4,0.25,6.64,121.2,78,4.54,0
2022-05-25 01:35:00,0.14,-0.04,2.2,-0.13,0.39,0.26,6.85,113.6,79,4.44,0
2022-05-25 01:40:00,0.23,-0.04,2.21,-0.19,0.41,0.23,7.17,109.1,79,4.4,0
2022-05-25 01:45:00,0.06,-0.05,2.22,-0.17,0.42,0.25,7.08,105.8,79,4.36,0
2022-05-25 01:50:00,0.17,-0.02,2.24,-0.15,0.41,0.26,5.75,124.4,80,4.3,0
2022-05-25 01:55:00,0.09,-0.09,2.2,-0.17,0.43,0.27,7.01,125.9,80,4.39,0
2022-05-25 02:00:00,0.15,0.02,Z/S,-0.15,0.43,0.29,6.87,113.8,80,4.28,0
2022-05-25 02:05:00,Z/S,-0.06,Z/S,-0.16,0.44,0.28,6.34,124.2,80,4.26,0
2022-05-25 02:10:00,Z/S,-0.05,Z/S,-0.19,0.48,0.29,7.35,127.5,80,4.3,0
2022-05-25 02:15:00,Z/S,0,Z/S,-0.15,0.39,0.23,6.21,118.5,80,4.3,0
2022-05-25 02:20:00,Z/S,-0.04,Z/S,-0.14,0.37,0.23,7.19,115.6,80,4.32,0
2022-05-25 02:25:00,Z/S,0.02,Z/S,-0.18,0.42,0.24,7.67,117,80,4.35,0
2022-05-25 02:30:00,Z/S,-0.07,Z/S,-0.17,0.42,0.25,7.14,124.1,81,4.32,0
2022-05-25 02:35:00,Z/S,-0.06,Z/S,-0.18,0.43,0.25,5.69,124.2,81,4.33,0
2022-05-25 02:40:00,Z/S,-0.04,Z/S,-0.19,0.46,0.26,5.76,128,81,4.38,0
2022-05-25 02:45:00,Z/S,-0.03,Z/S,-0.15,0.41,0.26,5.44,118.3,81,4.31,0
2022-05-25 02:50:00,Z/S,0.04,Z/S,-0.17,0.41,0.24,5.04,133.7,81,4.36,0
2022-05-25 02:55:00,Z/S,-0.05,Z/S,-0.15,0.41,0.25,3.29,139.6,81,4.38,0
2022-05-25 03:00:00,Z/S,-0.05,Z/S,-0.15,0.42,0.27,3.23,145.2,81,4.4,0
2022-05-25 03:05:00,0.05,Z/S,2.17,-0.16,0.42,0.26,3.31,119.4,81,4.32,0
2022-05-25 03:10:00,-0.08,Z/S,2.19,-0.19,0.43,0.24,6.65,104.7,82,4.22,0
2022-05-25 03:15:00,-0.09,Z/S,2.2,-0.18,0.42,0.24,5.77,102,81,4.3,0
2022-05-25 03:20:00,-0.01,Z/S,2.2,-0.17,0.43,0.26,5.23,104.3,81,4.3,0
2022-05-25 03:25:00,-0.12,Z/S,2.2,-0.14,0.43,0.29,4.1,84,81,4.3,0
2022-05-25 03:30:00,0.15,Z/S,2.19,-0.17,0.47,0.3,2.69,63.44,81,4.29,0
2022-05-25 03:35:00,0.06,Z/S,2.16,-0.16,0.45,0.28,2.78,299.8,82,4.2,0
2022-05-25 03:40:00,-0.14,Z/S,2.24,-0.14,0.4,0.25,1.63,21.87,82,4.05,0
2022-05-25 03:45:00,0.03,Z/S,2.22,-0.16,0.42,0.25,1.91,87.3,83,3.78,0
2022-05-25 03:50:00,0.07,Z/S,2.22,-0.15,0.36,0.21,2.27,89.7,84,3.68,0
2022-05-25 03:55:00,-0.01,Z/S,2.22,-0.14,0.38,0.24,1.61,87.2,84,3.5,0
2022-05-25 04:00:00,0.05,Z/S,2.23,-0.15,0.3,0.16,0.63,74.84,85,3.33,0
2022-05-25 04:05:00,-0.21,0.19,2.21,-0.19,0.39,0.2,2.91,112.9,85,3.22,0
2022-05-25 04:10:00,0.06,0.18,2.2,-0.15,0.39,0.24,0.62,102.3,86,3.2,0
2022-05-25 04:15:00,0.18,0.07,2.2,-0.16,0.35,0.2,0.77,99.7,86,3.16,0
2022-05-25 04:20:00,-0.16,0.11,2.19,-0.15,0.35,0.21,1.31,102.8,86,3.19,0
2022-05-25 04:25:00,0.03,0.07,2.19,-0.13,0.31,0.18,0.03,105.3,86,3.18,0
2022-05-25 04:30:00,0.05,0.14,2.25,-0.17,0.32,0.16,0.05,105.3,86,3.1,0
2022-05-25 04:35:00,0.04,0.13,2.22,-0.18,0.35,0.17,2.79,111.8,86,3.1,0
2022-05-25 04:40:00,0.04,0.05,2.21,-0.14,0.29,0.15,1.18,140.6,87,3.1,0
2022-05-25 04:45:00,0.12,-0.01,2.24,-0.16,0.27,0.11,2.62,130.4,87,3.14,0
2022-05-25 04:50:00,-0.03,-0.03,2.22,-0.15,0.26,0.11,3.1,93.2,87,3.22,0
2022-05-25 04:55:00,0.11,-0.01,2.21,-0.14,0.28,0.13,2.8,87.2,87,3.3,0
2022-05-25 05:00:00,0.1,0,2.21,-0.14,0.31,0.16,4.46,95.6,86,3.41,0
2022-05-25 05:05:00,0.19,-0.13,2.24,-0.14,0.34,0.21,4.38,100.4,85,3.84,0
2022-05-25 05:10:00,-0.11,-0.1,2.22,-0.17,0.38,0.21,4.36,103.1,84,4.06,0
2022-05-25 05:15:00,0.13,-0.09,2.22,-0.15,0.35,0.2,5.19,102.9,84,4.12,0
2022-05-25 05:20:00,0.03,-0.1,2.21,-0.14,0.39,0.25,5.45,112.5,83,4.33,0
2022-05-25 05:25:00,0.17,-0.14,2.21,-0.15,0.38,0.23,4.94,102.4,82,4.46,0
2022-05-25 05:30:00,0.15,-0.18,2.2,-0.12,0.36,0.23,5.37,107.7,82,4.63,0
2022-05-25 05:35:00,-0.02,-0.15,2.2,-0.12,0.38,0.26,3.74,113.2,81,4.75,0
2022-05-25 05:40:00,0.21,-0.17,2.2,-0.14,0.38,0.24,3.08,98.5,81,4.85,0
2022-05-25 05:45:00,-0.07,-0.19,2.2,-0.11,0.39,0.28,3.66,107.4,80,4.94,0
2022-05-25 05:50:00,-0.02,-0.04,2.2,-0.11,0.38,0.27,2.44,67.95,80,5.03,0
2022-05-25 05:55:00,-0.05,0.03,2.25,-0.13,0.39,0.27,2.71,79.73,80,5.16,0
2022-05-25 06:00:00,0.19,0.08,2.26,-0.14,0.36,0.22,2.9,92.5,80,5.2,0
2022-05-25 06:05:00,0.08,0.07,2.2,-0.13,0.36,0.24,3.48,98.6,80,5.29,0
2022-05-25 06:10:00,0.07,0.09,2.19,-0.14,0.4,0.27,4.63,104.5,79,5.32,0
2022-05-25 06:15:00,0.16,0.01,2.19,-0.15,0.4,0.25,3.45,117.6,79,5.48,0
2022-05-25 06:20:00,0.14,0.03,2.22,-0.16,0.41,0.25,4.63,93.6,78,5.6,0
2022-05-25 06:25:00,0.25,0.02,2.18,-0.14,0.4,0.26,3.47,103.9,77,5.74,0
2022-05-25 06:30:00,0.01,0.03,2.18,-0.11,0.36,0.25,3.42,92.4,77,6,0
2022-05-25 06:35:00,0.09,0.07,2.19,-0.12,0.41,0.3,4.14,89.6,76,6.24,0
2022-05-25 06:40:00,-0.05,0.02,2.19,-0.11,0.43,0.32,3.48,57.08,75,6.44,0
2022-05-25 06:45:00,0.1,0.06,2.19,-0.11,0.45,0.33,4.45,61.95,74,6.54,0
2022-05-25 06:50:00,0.15,0.03,2.18,-0.11,0.39,0.29,4.88,55.97,75,6.5,0
2022-05-25 06:55:00,-0.02,0.06,2.18,-0.13,0.47,0.34,5.45,62.24,74,6.62,0
2022-05-25 07:00:00,0.05,0.09,2.2,-0.09,0.42,0.33,5.18,60.06,73,6.72,0
2022-05-25 07:05:00,-0.07,0.02,2.22,-0.11,0.44,0.32,4.98,59.05,74,6.89,0
2022-05-25 07:10:00,0.25,0.01,2.2,-0.13,0.46,0.33,6.55,57.65,73,6.96,0
2022-05-25 07:15:00,0.05,0.01,2.19,-0.12,0.45,0.33,5.73,61.64,72,7.09,0
